index;value
801;308
802;309
803;309
804;309
805;308
806;308
807;308
808;307
809;307
810;307
811;307
812;307
813;306
814;306
815;306
816;306
817;306
818;305
819;305
820;305
821;305
822;305
823;305
824;304
825;304
826;304
827;304
828;303
829;304
830;303
831;303
832;302
833;302
834;302
835;301
836;302
837;302
838;301
839;301
840;301
841;301
842;300
843;300
844;300
845;299
846;299
847;298
848;299
849;298
850;298
851;297
852;297
853;296
854;296
855;297
856;296
857;296
858;295
859;295
860;295
861;295
862;295
863;295
864;294
865;294
866;294
867;293
868;293
869;293
870;293
871;293
872;292
873;292
874;292
875;292
876;292
877;292
878;292
879;291
880;291
881;291
882;291
883;291
884;290
885;290
886;290
887;289
888;289
889;289
890;289
891;289
892;288
893;288
894;288
895;288
896;288
897;288
898;288
899;287
900;288
901;288
902;288
903;288
904;288
905;288
906;288
907;288
908;288
909;288
910;288
911;288
912;288
913;288
914;288
915;289
916;288
917;289
918;288
919;289
920;289
921;289
922;289
923;289
924;289
925;290
926;290
927;289
928;289
929;289
930;290
931;290
932;290
933;290
934;290
935;290
936;290
937;290
938;291
939;291
940;291
941;292
942;292
943;292
944;292
945;292
946;292
947;292
948;292
949;292
950;293
951;293
952;292
953;293
954;292
955;293
956;293
957;292
958;293
959;293
960;293
961;293
962;293
963;293
964;293
965;293
966;293
967;293
968;293
969;292
970;292
971;293
972;292
973;292
974;292
975;292
976;292
977;292
978;292
979;291
980;292
981;292
982;291
983;291
984;291
985;291
986;291
987;290
988;290
989;290
990;290
991;290
992;289
993;289
994;289
995;289
996;289
997;289
998;289
999;289
1000;289
1001;289
1002;289
1003;289
1004;288
1005;288
1006;288
1007;288
1008;287
1009;288
1010;287
1011;287
1012;287
1013;287
1014;287
1015;287
1016;287
1017;287
1018;287
1019;287
1020;287
1021;287
1022;287
1023;287
1024;286
1025;287
1026;286
1027;287
1028;287
1029;287
1030;287
1031;286
1032;286
1033;286
1034;286
1035;286
1036;286
1037;286
1038;287
1039;287
1040;287
1041;287
1042;287
1043;287
1044;288
1045;288
1046;288
1047;288
1048;288
1049;288
1050;288
1051;288
1052;288
1053;288
1054;288
1055;288
1056;288
1057;288
1058;289
1059;289
1060;288
1061;289
1062;289
1063;290
1064;290
1065;290
1066;289
1067;290
1068;290
1069;290
1070;291
1071;290
1072;290
1073;291
1074;291
1075;291
1076;291
1077;291
1078;291
1079;292
1080;292
1081;292
1082;292
1083;292
1084;292
1085;292
1086;293
1087;292
1088;292
1089;293
1090;293
1091;293
1092;293
1093;293
1094;293
1095;293
1096;292
1097;293
1098;292
1099;292
1100;292
1101;293
1102;292
1103;293
1104;293
1105;293
1106;293
1107;293
1108;293
1109;293
1110;294
1111;294
1112;295
1113;295
1114;295
1115;295
1116;296
1117;296
1118;296
1119;297
1120;296
1121;297
1122;297
1123;296
1124;297
1125;297
1126;297
1127;297
1128;297
1129;297
1130;297
1131;297
1132;297
1133;297
1134;297
1135;296
1136;296
1137;297
1138;296
1139;296
1140;296
1141;296
1142;296
1143;296
1144;296
1145;296
1146;296
1147;296
1148;296
1149;296
1150;296
1151;296
1152;296
1153;296
1154;297
1155;297
1156;297
1157;297
1158;297
1159;297
1160;297
1161;297
1162;297
1163;297
1164;297
1165;297
1166;297
1167;297
1168;297
1169;297
1170;297
1171;298
1172;298
1173;298
1174;298
1175;298
1176;298
1177;297
1178;297
1179;298
1180;298
1181;298
1182;297
1183;298
1184;298
1185;297
1186;298
1187;297
1188;298
1189;297
1190;298
1191;299
1192;298
1193;299
1194;299
1195;300
1196;300
1197;301
1198;301
1199;301
1200;301
1201;302
1202;302
1203;302
1204;301
1205;302
1206;302
1207;302
1208;302
1209;302
1210;302
1211;302
1212;302
1213;302
1214;301
1215;301
1216;302
1217;302
1218;302
1219;302
1220;302
1221;302
1222;302
1223;301
1224;301
1225;301
1226;300
1227;300
1228;300
1229;299
1230;299
1231;299
1232;299
1233;299
1234;299
1235;299
1236;299
1237;300
1238;301
1239;300
1240;301
1241;301
1242;302
1243;302
1244;303
1245;303
1246;303
1247;303
1248;303
1249;304
1250;304
1251;304
1252;304
1253;304
1254;304
1255;304
1256;305
1257;305
1258;306
1259;307
1260;307
1261;307
1262;307
1263;308
1264;308
1265;309
1266;309
1267;308
1268;309
1269;309
1270;309
1271;309
1272;310
1273;309
1274;309
1275;310
1276;310
1277;310
1278;310
1279;311
1280;310
1281;310
1282;311
1283;310
1284;310
1285;310
1286;310
1287;309
1288;309
1289;309
1290;309
1291;309
1292;308
1293;308
1294;307
1295;307
1296;307
1297;306
1298;307
1299;306
1300;306
1301;306
1302;306
1303;305
1304;305
1305;305
1306;305
1307;305
1308;304
1309;304
1310;304
1311;304
1312;303
1313;303
1314;303
1315;303
1316;303
1317;303
1318;303
1319;303
1320;304
1321;303
1322;303
1323;303
1324;303
1325;303
1326;303
1327;303
1328;303
1329;303
1330;303
1331;302
1332;302
1333;302
1334;302
1335;302
1336;301
1337;302
1338;302
1339;302
1340;302
1341;302
1342;303
1343;303
1344;303
1345;303
1346;303
1347;303
1348;303
1349;303
1350;302
1351;302
1352;302
1353;301
1354;300
1355;300
1356;300
1357;300
1358;300
1359;299
1360;299
1361;300
1362;300
1363;301
1364;301
1365;301
1366;300
1367;300
1368;300
1369;300
1370;300
1371;300
1372;299
1373;298
1374;298
1375;298
1376;297
1377;297
1378;297
1379;297
1380;297
1381;297
1382;297
1383;298
1384;298
1385;299
1386;301
1387;302
1388;304
1389;307
1390;310
1391;313
1392;316
1393;320
1394;324
1395;328
1396;333
1397;337
1398;341
1399;346
1400;349
1401;354
1402;357
1403;360
1404;363
1405;366
1406;368
1407;370
1408;371
1409;372
1410;372
1411;372
1412;372
1413;371
1414;371
1415;369
1416;368
1417;367
1418;365
1419;364
1420;361
1421;359
1422;358
1423;355
1424;353
1425;351
1426;349
1427;345
1428;343
1429;341
1430;338
1431;336
1432;335
1433;332
1434;330
1435;329
1436;327
1437;325
1438;324
1439;322
1440;322
1441;321
1442;320
1443;319
1444;318
1445;317
1446;316
1447;316
1448;316
1449;315
1450;315
1451;314
1452;313
1453;312
1454;312
1455;311
1456;311
1457;311
1458;310
1459;310
1460;310
1461;309
1462;309
1463;309
1464;308
1465;308
1466;307
1467;308
1468;307
1469;307
1470;306
1471;306
1472;306
1473;305
1474;305
1475;305
1476;304
1477;304
1478;304
1479;304
1480;304
1481;304
1482;304
1483;303
1484;303
1485;303
1486;302
1487;302
1488;302
1489;301
1490;301
1491;301
1492;300
1493;300
1494;299
1495;299
1496;299
1497;299
1498;299
1499;299
1500;298
1501;298
1502;298
1503;297
1504;297
1505;297
1506;297
1507;296
1508;296
1509;296
1510;296
1511;296
1512;296
1513;296
1514;297
1515;297
1516;297
1517;298
1518;298
1519;298
1520;298
1521;298
1522;298
1523;298
1524;298
1525;297
1526;297
1527;297
1528;297
1529;296
1530;296
1531;296
1532;296
1533;296
1534;296
1535;296
1536;297
1537;297
1538;297
1539;298
1540;298
1541;298
1542;298
1543;298
1544;298
1545;298
1546;298
1547;298
1548;298
1549;297
1550;297
1551;297
1552;297
1553;296
1554;296
1555;296
1556;296
1557;295
1558;295
1559;295
1560;295
1561;295
1562;296
1563;296
1564;296
1565;297
1566;297
1567;297
1568;297
1569;297
1570;297
1571;297
1572;297
1573;297
1574;296
1575;296
1576;296
1577;296
1578;296
1579;297
1580;297
1581;297
1582;297
1583;298
1584;297
1585;297
1586;297
1587;297
1588;297
1589;297
1590;297
1591;297
1592;296
1593;297
1594;297
1595;297
1596;297
1597;298
1598;299
1599;299
1600;300
1601;300
1602;300
1603;301
1604;301
1605;302
1606;302
1607;303
1608;302
1609;302
1610;303
1611;303
1612;303
1613;303
1614;303
1615;303
1616;303
1617;303
1618;303
1619;303
1620;302
1621;303
1622;302
1623;302
1624;303
1625;302
1626;302
1627;303
1628;302
1629;303
1630;303
1631;303
1632;304
1633;304
1634;304
1635;305
1636;305
1637;306
1638;306
1639;307
1640;306
1641;306
1642;306
1643;307
1644;307
1645;307
1646;307
1647;308
1648;307
1649;308
1650;308
1651;308
1652;309
1653;309
1654;310
1655;311
1656;310
1657;310
1658;311
1659;311
1660;311
1661;311
1662;311
1663;312
1664;312
1665;312
1666;313
1667;312
1668;313
1669;313
1670;314
1671;314
1672;315
1673;315
1674;316
1675;315
1676;316
1677;316
1678;316
1679;317
1680;317
1681;317
1682;317
1683;317
1684;316
1685;316
1686;316
1687;315
1688;315
1689;315
1690;314
1691;314
1692;314
1693;313
1694;313
1695;313
1696;313
1697;313
1698;313
1699;313
1700;313
1701;313
1702;313
1703;313
1704;313
1705;313
1706;313
1707;313
1708;313
1709;312
1710;312
1711;312
1712;312
1713;311
1714;311
1715;311
1716;311
1717;311
1718;311
1719;311
1720;311
1721;310
1722;311
1723;310
1724;310
1725;310
1726;309
1727;309
1728;308
1729;308
1730;307
1731;307
1732;307
1733;307
1734;306
1735;306
1736;306
1737;306
1738;305
1739;305
1740;305
1741;305
1742;305
1743;305
1744;305
1745;304
1746;305
1747;305
1748;305
1749;304
1750;303
1751;303
1752;303
1753;302
1754;302
1755;302
1756;301
1757;301
1758;301
1759;301
1760;300
1761;300
1762;301
1763;301
1764;301
1765;301
1766;300
1767;301
1768;300
1769;299
1770;300
1771;299
1772;300
1773;299
1774;299
1775;298
1776;298
1777;298
1778;298
1779;297
1780;297
1781;296
1782;296
1783;296
1784;296
1785;296
1786;296
1787;296
1788;296
1789;295
1790;295
1791;296
1792;295
1793;295
1794;296
1795;295
1796;295
1797;295
1798;295
1799;295
1800;296
1801;296
1802;296
1803;296
1804;296
1805;296
1806;296
1807;297
1808;297
1809;296
1810;296
1811;297
1812;297
1813;298
1814;297
1815;298
1816;298
1817;299
1818;299
1819;299
1820;299
1821;299
1822;298
1823;298
1824;297
1825;297
1826;297
1827;296
1828;296
1829;295
1830;295
1831;295
1832;294
1833;295
1834;295
1835;295
1836;295
1837;296
1838;296
1839;296
1840;296
1841;297
1842;297
1843;297
1844;297
1845;297
1846;297
1847;297
1848;297
1849;297
1850;297
1851;297
1852;297
1853;297
1854;298
1855;298
1856;297
1857;297
1858;297
1859;297
1860;296
1861;296
1862;296
1863;295
1864;295
1865;294
1866;294
1867;293
1868;294
1869;294
1870;294
1871;294
1872;295
1873;294
1874;294
1875;294
1876;295
1877;295
1878;295
1879;295
1880;295
1881;295
1882;295
1883;295
1884;295
1885;295
1886;295
1887;295
1888;294
1889;294
1890;294
1891;293
1892;293
1893;293
1894;292
1895;293
1896;293
1897;293
1898;293
1899;293
1900;293
1901;294
1902;293
1903;294
1904;294
1905;294
1906;294
1907;295
1908;294
1909;294
1910;294
1911;294
1912;294
1913;294
1914;294
1915;294
1916;294
1917;294
1918;294
1919;294
1920;294
1921;294
1922;294
1923;294
1924;294
1925;294
1926;294
1927;294
1928;293
1929;293
1930;293
1931;292
1932;292
1933;292
1934;292
1935;293
1936;293
1937;293
1938;293
1939;294
1940;294
1941;294
1942;294
1943;294
1944;294
1945;294
1946;294
1947;294
1948;294
1949;294
1950;294
1951;294
1952;294
1953;294
1954;294
1955;293
1956;293
1957;293
1958;293
1959;293
1960;292
1961;293
1962;293
1963;293
1964;293
1965;293
1966;292
1967;292
1968;291
1969;291
1970;291
1971;291
1972;290
1973;290
1974;290
1975;290
1976;291
1977;291
1978;291
1979;291
1980;291
1981;291
1982;292
1983;291
1984;292
1985;292
1986;291
1987;292
1988;292
1989;292
1990;292
1991;292
1992;292
1993;292
1994;293
1995;293
1996;293
1997;293
1998;294
1999;294
2000;294
2001;295
2002;295
2003;295
2004;295
2005;295
2006;295
2007;296
2008;296
2009;296
2010;296
2011;296
2012;297
2013;297
2014;296
2015;297
2016;297
2017;297
2018;298
2019;298
2020;298
2021;298
2022;298
2023;298
2024;298
2025;299
2026;299
2027;299
2028;299
2029;299
2030;299
2031;299
2032;299
2033;299
2034;299
2035;299
2036;299
2037;299
2038;299
2039;299
