index;value
353;287
354;287
354;286
355;286
355;286
356;286
356;286
356;287
357;287
357;288
358;289
358;291
359;292
359;293
360;295
360;296
360;298
361;299
361;301
362;302
362;303
363;304
363;304
364;304
364;305
365;304
365;304
365;303
366;303
366;302
367;301
367;301
368;299
368;298
369;297
369;296
369;295
370;294
370;293
371;292
371;291
372;290
372;289
373;288
373;288
373;287
374;287
374;287
375;287
375;287
376;287
376;288
377;289
377;290
378;291
378;293
378;294
379;295
379;297
380;298
380;300
381;301
381;303
382;304
382;305
382;306
384;306
384;307
385;307
385;307
386;306
386;305
387;305
387;304
387;303
388;302
388;302
389;300
389;300
390;299
390;298
391;297
391;296
392;295
392;294
392;293
393;292
393;292
394;292
394;291
395;291
395;291
396;291
396;291
396;292
397;293
397;294
398;295
398;296
399;298
399;299
400;301
400;303
400;304
401;306
401;307
402;309
402;310
403;311
403;312
404;312
404;312
405;313
405;312
405;312
406;311
406;310
407;309
407;309
408;307
408;307
409;306
409;304
409;304
410;302
410;301
411;300
411;300
412;298
412;297
413;297
413;296
413;296
414;295
414;295
415;295
415;295
416;295
416;296
417;297
417;298
418;299
418;300
418;302
419;303
419;305
420;306
420;307
421;309
421;310
422;312
422;313
422;314
423;314
423;314
424;314
424;314
425;314
425;313
427;312
427;311
427;310
428;309
428;308
429;307
429;306
430;305
430;303
431;302
431;301
432;300
432;299
432;298
433;297
433;296
434;296
434;295
435;295
435;295
436;294
436;294
436;295
437;295
437;296
438;297
438;298
439;300
439;301
440;302
440;304
440;305
441;307
441;307
442;308
442;309
443;310
443;310
444;310
444;310
445;310
445;309
445;309
446;308
446;307
447;306
447;305
448;304
448;303
449;302
449;301
449;300
450;299
450;298
451;298
451;297
452;296
452;296
453;295
453;295
453;294
454;294
454;294
455;294
455;295
456;295
456;295
457;296
457;297
458;298
458;300
458;301
459;302
459;303
460;304
460;305
461;306
461;308
462;308
462;309
462;309
463;309
463;309
464;309
464;309
465;308
465;307
466;306
466;306
466;305
467;304
467;303
468;302
468;301
470;300
470;299
471;298
471;297
472;296
472;296
472;295
473;294
473;294
474;294
474;293
475;293
475;293
476;294
476;294
476;294
477;295
477;296
478;297
478;298
479;299
479;301
480;302
480;303
480;304
481;305
481;306
482;307
482;309
483;309
483;309
484;309
484;309
485;309
485;309
485;308
486;307
486;306
487;305
487;304
488;303
488;303
489;302
489;301
489;299
490;299
490;298
491;297
491;296
492;295
492;294
493;294
493;293
493;293
494;293
494;293
495;293
495;293
496;294
496;294
497;295
497;296
498;297
498;298
498;299
499;301
499;302
500;303
500;304
501;305
501;306
502;306
502;308
502;308
503;308
503;308
504;307
504;307
505;306
505;305
506;304
506;303
506;302
507;301
507;300
508;298
508;297
509;296
509;294
510;293
510;292
512;291
512;289
512;288
513;287
513;286
514;286
514;285
515;285
515;285
516;285
516;285
516;285
517;286
517;287
518;289
518;290
519;292
519;294
520;296
520;298
520;300
521;302
521;304
522;306
522;308
523;310
523;312
524;313
524;314
525;315
525;316
525;316
526;317
526;317
527;317
527;318
528;318
528;318
529;318
529;318
529;318
530;318
530;319
531;319
531;319
532;319
532;320
533;320
533;321
533;322
534;323
534;323
535;325
535;326
536;328
536;330
537;331
537;334
538;336
538;338
538;340
539;343
539;345
540;347
540;350
541;352
541;354
542;355
542;357
542;359
543;360
543;361
544;361
544;361
545;361
545;360
546;359
546;359
546;357
547;356
547;355
548;354
548;352
549;351
549;350
550;348
550;347
551;346
551;345
551;343
552;342
552;341
553;340
553;340
555;339
555;339
556;338
556;338
556;338
557;338
557;339
558;340
558;340
559;341
559;343
560;343
560;345
560;346
561;347
561;348
562;349
562;350
563;351
563;351
564;351
564;351
565;351
565;351
565;350
566;349
566;348
567;347
567;345
568;344
568;343
569;342
569;340
569;339
570;337
570;336
571;334
571;333
572;332
572;330
573;329
573;329
573;327
574;327
574;326
575;325
575;325
576;325
576;325
577;325
577;325
578;326
578;327
578;328
579;329
579;330
580;331
580;332
581;333
581;334
582;335
582;336
582;336
583;336
583;337
584;336
584;336
585;335
585;334
586;333
586;332
586;331
587;330
587;329
588;327
588;326
589;324
589;323
590;321
590;320
591;319
591;317
591;316
592;314
592;313
593;313
593;312
594;311
594;310
595;310
595;310
595;310
596;310
596;310
598;311
598;312
599;313
599;314
600;315
600;316
600;317
601;318
601;320
602;320
602;321
603;323
603;323
604;323
604;323
605;323
605;323
605;322
606;321
606;320
607;319
607;318
608;317
608;316
609;314
609;313
609;311
610;310
610;309
611;307
611;306
612;305
612;304
613;302
613;302
613;301
614;300
614;300
615;300
615;299
616;299
616;299
617;300
617;301
618;301
618;302
618;303
619;304
619;305
620;307
620;308
621;309
621;310
622;312
622;312
622;314
623;314
623;314
624;314
624;314
625;314
625;313
626;312
626;311
626;310
627;310
627;308
628;307
628;306
629;305
629;304
630;302
630;301
631;300
631;299
631;298
632;297
632;296
633;295
633;295
634;294
634;294
635;293
635;293
635;293
636;294
636;294
637;295
637;296
638;297
638;299
640;300
640;301
640;303
641;304
641;305
642;306
642;307
643;309
643;309
644;310
644;310
645;310
645;310
645;310
646;309
646;308
647;308
647;306
648;306
648;304
649;303
649;302
649;301
650;300
650;298
651;297
651;296
652;295
652;294
653;293
653;292
653;292
654;292
654;291
655;290
655;290
656;290
656;291
657;291
657;292
658;293
658;294
658;295
659;296
659;298
660;299
660;301
661;302
661;304
662;305
662;306
662;307
663;308
663;308
664;308
664;308
665;308
665;307
666;307
666;306
666;305
667;304
667;303
668;302
668;301
669;300
669;299
670;297
670;296
671;295
671;294
671;293
672;292
672;291
673;290
673;290
674;289
674;289
675;289
675;288
675;289
676;289
676;289
677;290
677;292
678;293
678;294
679;295
679;297
679;298
680;300
680;301
681;302
681;303
683;304
683;305
684;306
684;306
685;306
685;306
685;306
686;305
686;304
687;303
687;303
688;302
688;301
689;300
689;299
689;297
690;296
690;295
691;294
691;293
692;291
692;291
693;290
693;289
693;288
694;288
694;287
695;287
695;287
696;287
696;287
697;287
697;288
698;289
698;290
698;291
699;293
699;294
700;295
700;297
701;298
701;300
702;301
702;302
702;303
703;304
703;304
704;304
704;304
705;304
705;304
706;303
706;302
706;302
707;301
707;300
708;299
708;298
709;297
709;295
710;294
710;293
711;292
711;291
711;290
712;289
712;288
713;287
713;287
714;286
714;286
715;286
715;286
715;286
716;287
716;287
717;288
717;289
718;290
718;291
719;293
719;294
719;296
720;297
720;298
721;300
721;301
722;302
722;303
723;304
723;304
724;304
724;304
724;304
726;304
726;303
727;302
727;301
728;301
728;299
729;298
729;298
729;297
730;295
730;294
731;293
731;292
732;291
732;290
733;289
733;288
733;288
734;287
734;287
735;287
735;286
736;286
736;287
737;287
737;288
738;289
738;290
738;291
739;293
739;294
740;295
740;297
741;298
741;299
742;301
742;302
742;303
743;304
743;304
744;305
744;305
745;305
745;305
746;304
746;303
746;303
747;302
747;301
748;300
748;299
749;298
749;297
750;295
750;294
751;293
751;292
751;291
752;290
752;289
753;288
753;288
754;287
754;287
755;287
755;287
755;287
756;287
756;288
757;289
757;290
758;291
758;292
759;293
759;295
759;297
760;298
760;300
761;301
761;302
762;303
762;304
763;305
763;306
764;306
764;306
764;306
765;306
765;305
766;304
766;303
768;303
768;302
769;301
769;300
769;299
770;298
770;297
771;296
771;295
772;294
772;293
773;292
773;292
773;291
774;290
774;290
775;290
775;290
776;290
776;290
777;291
777;292
778;293
778;294
778;295
779;297
779;298
780;300
780;301
781;303
781;304
782;305
782;307
782;309
783;310
783;310
784;311
784;311
785;311
785;311
786;310
786;309
786;309
787;308
787;307
788;307
788;306
789;304
789;303
790;303
790;302
791;301
791;300
791;299
792;298
792;297
793;296
793;296
794;295
794;295
795;295
795;295
795;295
796;295
796;296
797;297
797;298
798;299
798;300
799;302
799;303
799;305
800;306
800;307
801;309
801;310
802;312
802;313
803;313
803;314
804;314
804;315
804;315
805;314
805;313
806;312
806;311
807;311
807;310
808;309
808;308
808;306
809;305
809;304
811;303
811;302
812;301
812;300
813;299
813;298
813;297
814;296
814;296
815;295
815;295
816;295
816;295
817;295
817;296
818;297
818;298
818;299
819;300
819;301
820;303
820;304
821;305
821;307
822;308
822;309
822;310
823;312
823;312
824;312
824;312
825;312
825;311
826;311
826;310
826;309
827;308
827;307
828;306
828;304
829;303
829;302
830;301
830;300
831;299
831;297
831;296
832;295
832;294
833;293
833;292
834;292
834;291
835;291
835;290
835;290
836;291
836;291
