x;y;z
0.059;0.871;-0.472
0.058;0.878;-0.471
0.043;0.869;-0.464
0.037;0.869;-0.480
0.050;0.867;-0.479
0.043;0.870;-0.466
0.051;0.867;-0.469
0.047;0.871;-0.475
0.044;0.871;-0.474
0.052;0.872;-0.482
0.051;0.857;-0.485
0.055;0.861;-0.482
0.057;0.871;-0.479
0.058;0.864;-0.484
0.058;0.858;-0.479
0.050;0.860;-0.491
0.061;0.866;-0.495
0.063;0.858;-0.490
0.063;0.867;-0.476
0.042;0.868;-0.478
0.042;0.854;-0.483
0.038;0.864;-0.481
0.037;0.860;-0.481
0.060;0.860;-0.481
0.046;0.871;-0.479
0.043;0.872;-0.484
0.059;0.862;-0.490
0.056;0.856;-0.474
0.059;0.843;-0.479
0.064;0.855;-0.491
0.053;0.855;-0.478
0.055;0.857;-0.481
0.051;0.877;-0.486
0.044;0.864;-0.504
0.053;0.855;-0.508
0.053;0.853;-0.511
0.051;0.859;-0.507
0.051;0.852;-0.518
0.049;0.850;-0.507
0.044;0.851;-0.511
0.055;0.836;-0.517
0.047;0.851;-0.516
0.062;0.836;-0.527
0.068;0.837;-0.532
0.083;0.832;-0.538
0.073;0.843;-0.524
0.057;0.841;-0.505
0.060;0.852;-0.523
0.052;0.838;-0.509
0.054;0.839;-0.508
0.051;0.853;-0.525
0.065;0.845;-0.523
0.064;0.824;-0.508
0.063;0.836;-0.521
0.046;0.853;-0.521
0.056;0.844;-0.515
0.061;0.832;-0.521
0.070;0.849;-0.523
0.063;0.842;-0.523
0.074;0.847;-0.521
0.070;0.846;-0.516
0.051;0.844;-0.505
0.035;0.849;-0.513
0.025;0.840;-0.538
0.050;0.825;-0.538
0.069;0.823;-0.521
0.069;0.846;-0.511
0.053;0.857;-0.537
0.063;0.834;-0.543
0.053;0.828;-0.518
0.047;0.847;-0.529
0.045;0.845;-0.529
0.056;0.835;-0.546
0.063;0.836;-0.538
0.066;0.836;-0.531
0.060;0.839;-0.524
0.057;0.835;-0.521
0.045;0.835;-0.513
0.036;0.848;-0.532
0.042;0.852;-0.530
0.058;0.839;-0.532
0.072;0.842;-0.533
0.067;0.843;-0.521
0.055;0.835;-0.520
0.044;0.834;-0.518
0.032;0.849;-0.510
0.037;0.854;-0.513
0.054;0.851;-0.523
0.063;0.841;-0.534
0.065;0.839;-0.536
0.053;0.837;-0.521
0.056;0.829;-0.515
0.047;0.834;-0.514
0.054;0.836;-0.516
0.053;0.839;-0.517
0.070;0.825;-0.528
0.065;0.840;-0.518
0.057;0.838;-0.520
0.040;0.845;-0.524
0.041;0.837;-0.530
0.049;0.844;-0.521
0.041;0.835;-0.530
0.054;0.839;-0.527
0.049;0.834;-0.541
0.055;0.831;-0.534
0.054;0.840;-0.535
0.061;0.831;-0.537
0.079;0.838;-0.560
0.043;0.842;-0.556
0.043;0.816;-0.564
0.055;0.801;-0.538
0.057;0.818;-0.552
0.036;0.809;-0.572
0.009;0.890;-0.580
-0.005;0.855;-0.603
0.071;0.984;-0.567
0.007;-0.248;-0.831
0.036;1.348;-0.297
-0.104;0.561;-0.592
0.018;1.033;-0.414
-0.063;0.832;-0.578
0.021;0.845;-0.533
0.076;0.812;-0.526
0.030;0.867;-0.480
-0.043;0.861;-0.444
-0.112;0.926;-0.396
-0.001;1.034;-0.498
0.078;0.962;-0.333
-0.142;0.985;-0.131
-0.199;1.006;-0.094
-0.139;0.891;-0.188
-0.095;0.884;-0.069
-0.155;1.099;0.071
-0.118;1.069;0.245
-0.079;1.045;0.227
0.034;0.941;0.319
0.153;0.783;0.312
0.153;0.829;0.374
0.060;0.685;0.692
-0.240;0.600;0.606
-0.006;0.077;0.451
-0.242;0.418;0.964
-0.037;0.952;0.920
-0.352;0.588;1.116
-0.326;0.344;0.785
-0.385;0.441;1.071
-0.055;0.481;0.938
0.097;0.271;0.823
-0.154;0.136;1.061
-0.126;0.304;1.259
-0.259;0.137;0.989
0.117;0.155;0.956
-0.248;0.123;0.764
-0.135;-0.076;1.103
-0.209;0.084;1.251
-0.245;0.010;1.245
-0.232;0.017;1.153
-0.187;-0.010;1.025
-0.147;0.023;0.982
-0.155;-0.063;0.954
-0.087;0.187;1.274
-0.215;0.086;1.127
-0.078;0.077;1.017
-0.063;0.047;0.908
-0.089;0.046;1.065
-0.037;-0.001;0.991
-0.074;0.004;1.024
-0.017;-0.024;0.953
0.046;0.037;1.027
-0.001;-0.038;1.048
0.030;0.006;1.051
0.024;-0.008;1.021
0.075;-0.007;1.080
0.054;0.011;1.119
0.006;-0.024;1.049
-0.014;-0.026;1.044
0.031;0.016;1.003
0.034;0.000;1.007
0.008;-0.035;1.032
-0.003;-0.053;1.004
0.032;-0.008;0.980
0.063;0.005;1.020
0.042;0.017;1.113
0.011;-0.005;1.128
0.025;-0.014;1.042
0.023;-0.025;1.053
0.024;-0.042;1.018
0.019;-0.047;0.992
0.010;-0.029;1.053
0.037;-0.029;1.030
0.021;-0.021;1.043
0.021;-0.027;1.022
-0.001;-0.023;1.056
0.007;-0.031;1.068
0.000;-0.020;1.090
-0.028;-0.041;1.076
-0.013;-0.058;1.005
-0.029;-0.059;1.012
-0.014;-0.081;0.996
0.009;-0.060;0.995
0.002;-0.058;1.031
0.053;-0.022;1.027
0.018;-0.035;1.049
0.039;-0.017;1.041
0.039;-0.003;1.068
0.035;-0.007;1.083
0.021;-0.019;1.105
0.000;-0.041;1.073
-0.021;-0.062;1.018
-0.032;-0.075;1.010
-0.021;-0.081;0.999
-0.004;-0.051;1.020
0.019;-0.035;1.035
0.010;-0.044;1.038
0.028;-0.034;1.006
0.020;-0.020;1.066
0.020;-0.037;1.048
0.025;-0.018;1.046
0.018;-0.037;1.034
0.019;-0.040;1.060
0.003;-0.047;1.062
-0.011;-0.076;1.022
-0.003;-0.057;1.041
-0.005;-0.061;1.019
-0.015;-0.077;1.018
-0.011;-0.068;1.029
-0.002;-0.060;1.035
-0.004;-0.051;1.056
0.001;-0.041;1.078
-0.008;-0.048;1.042
0.007;-0.065;1.010
0.004;-0.066;1.041
-0.001;-0.050;1.058
-0.001;-0.077;1.035
0.021;-0.071;1.021
0.002;-0.059;1.050
0.009;-0.078;1.024
0.011;-0.042;1.037
-0.019;-0.073;1.040
0.016;-0.057;1.021
0.013;-0.056;1.044
0.008;-0.058;1.048
0.028;-0.054;1.024
-0.001;-0.079;1.021
0.015;-0.057;1.036
0.014;-0.068;1.047
0.014;-0.035;1.080
0.020;-0.041;1.078
0.020;-0.043;1.010
0.013;-0.072;1.010
0.009;-0.064;1.001
-0.010;-0.069;1.046
0.014;-0.059;1.058
0.018;-0.055;1.041
0.016;-0.060;1.018
-0.004;-0.075;1.046
0.021;-0.056;1.039
0.008;-0.051;1.058
0.006;-0.065;1.029
0.011;-0.075;1.014
0.002;-0.073;1.047
0.004;-0.060;1.047
0.011;-0.060;1.029
0.013;-0.036;1.030
0.009;-0.062;1.012
0.007;-0.067;1.035
0.010;-0.056;1.059
0.010;-0.063;1.005
0.016;-0.056;1.049
0.009;-0.059;1.037
0.013;-0.057;1.057
0.009;-0.082;1.038
0.009;-0.066;1.037
0.011;-0.062;1.031
0.010;-0.063;1.020
0.011;-0.053;1.050
-0.003;-0.058;1.032
0.005;-0.042;1.024
0.008;-0.064;1.029
0.007;-0.063;1.045
-0.004;-0.063;1.060
0.000;-0.069;1.046
-0.011;-0.075;1.035
0.005;-0.051;1.032
-0.001;-0.063;1.042
0.004;-0.054;1.038
0.007;-0.060;1.020
0.003;-0.071;1.017
0.001;-0.066;1.042
-0.009;-0.060;1.050
-0.003;-0.066;1.044
0.006;-0.062;1.043
0.010;-0.066;1.029
0.012;-0.081;0.993
0.012;-0.073;1.022
0.003;-0.048;1.074
0.001;-0.068;1.035
-0.004;-0.062;1.032
0.006;-0.052;1.026
0.006;-0.063;1.029
0.008;-0.058;1.045
-0.003;-0.061;1.056
-0.006;-0.066;1.026
-0.003;-0.074;1.043
0.009;-0.062;1.031
0.011;-0.046;1.039
0.008;-0.062;1.029
0.012;-0.046;1.044
0.001;-0.067;1.021
-0.009;-0.065;1.018
0.005;-0.050;1.057
0.006;-0.058;1.052
0.002;-0.049;1.051
0.000;-0.080;1.023
-0.007;-0.076;1.031
-0.009;-0.064;1.041
-0.011;-0.077;1.047
-0.002;-0.057;1.028
-0.007;-0.060;1.025
0.007;-0.061;1.013
-0.004;-0.069;1.047
0.002;-0.061;1.062
-0.011;-0.073;1.051
-0.003;-0.064;1.014
-0.001;-0.081;1.000
-0.006;-0.056;1.047
-0.002;-0.063;1.071
-0.004;-0.062;1.050
-0.004;-0.063;1.026
-0.013;-0.094;1.007
-0.022;-0.090;1.037
-0.009;-0.073;1.057
-0.008;-0.070;1.035
-0.001;-0.051;1.030
-0.008;-0.069;1.015
0.005;-0.061;1.023
0.001;-0.061;1.056
-0.007;-0.065;1.051
-0.017;-0.071;1.050
-0.004;-0.064;1.046
-0.009;-0.084;1.016
-0.012;-0.081;1.043
-0.012;-0.057;1.046
-0.021;-0.055;1.036
0.002;-0.060;1.032
-0.001;-0.074;1.019
-0.020;-0.076;1.035
-0.012;-0.061;1.075
-0.018;-0.071;1.050
-0.013;-0.064;1.040
-0.013;-0.063;1.002
-0.013;-0.060;1.013
-0.018;-0.064;1.095
-0.020;-0.075;1.045
-0.015;-0.072;1.025
-0.021;-0.091;1.041
-0.017;-0.079;1.028
-0.012;-0.063;1.043
