x;y;z
-0.890;0.008;-0.513
-0.877;0.013;-0.502
-0.877;0.025;-0.494
-0.866;0.017;-0.492
-0.849;0.019;-0.498
-0.854;0.015;-0.498
-0.843;0.008;-0.507
-0.856;0.003;-0.516
-0.859;0.006;-0.509
-0.847;0.005;-0.518
-0.854;0.012;-0.506
-0.863;0.014;-0.507
-0.864;0.020;-0.495
-0.863;0.016;-0.506
-0.874;0.014;-0.519
-0.878;0.016;-0.507
-0.869;0.018;-0.498
-0.851;0.011;-0.511
-0.854;0.020;-0.513
-0.859;0.003;-0.517
-0.854;0.007;-0.513
-0.854;0.014;-0.508
-0.863;0.013;-0.514
-0.869;0.015;-0.501
-0.856;0.021;-0.500
-0.851;0.022;-0.500
-0.854;0.019;-0.508
-0.868;0.012;-0.511
-0.857;0.015;-0.513
-0.862;0.011;-0.516
-0.858;0.021;-0.504
-0.857;0.020;-0.512
-0.849;0.016;-0.508
-0.854;0.019;-0.505
-0.856;0.013;-0.513
-0.871;0.015;-0.513
-0.877;0.019;-0.512
-0.845;0.019;-0.508
-0.856;0.015;-0.509
-0.856;0.017;-0.512
-0.870;0.008;-0.512
-0.865;0.014;-0.507
-0.853;0.021;-0.509
-0.851;0.013;-0.513
-0.845;0.015;-0.518
-0.854;0.011;-0.514
-0.855;0.010;-0.512
-0.863;0.012;-0.518
-0.854;0.017;-0.508
-0.869;0.019;-0.508
-0.858;0.014;-0.512
-0.867;0.019;-0.510
-0.867;0.017;-0.504
-0.852;0.016;-0.505
-0.849;0.020;-0.508
-0.856;0.019;-0.518
-0.874;0.016;-0.508
-0.855;0.016;-0.511
-0.854;0.018;-0.509
-0.854;0.009;-0.510
-0.855;0.016;-0.509
-0.854;0.007;-0.512
-0.861;0.017;-0.518
-0.870;0.018;-0.508
-0.854;0.019;-0.494
-0.841;0.017;-0.515
-0.859;0.010;-0.520
-0.856;0.022;-0.509
-0.854;0.012;-0.509
-0.850;0.017;-0.515
-0.840;0.018;-0.513
-0.850;0.017;-0.512
-0.851;0.029;-0.520
-0.864;0.001;-0.548
-0.859;0.034;-0.566
-0.806;0.047;-0.569
-0.701;-0.009;-0.623
-0.835;0.088;-0.776
-0.745;0.062;-0.833
-0.648;0.173;-0.891
-0.504;0.079;-0.904
-0.440;0.072;-0.936
-0.347;0.047;-0.998
-0.273;0.027;-1.047
-0.190;0.070;-1.001
-0.132;0.031;-0.974
-0.037;0.055;-0.921
0.074;0.042;-0.958
0.172;-0.003;-0.938
0.234;0.014;-0.883
0.288;0.028;-0.833
0.340;0.031;-0.778
0.398;-0.001;-0.816
0.447;0.005;-0.858
0.470;0.020;-0.803
0.559;-0.005;-0.695
0.561;0.014;-0.683
0.570;-0.081;-0.664
0.665;-0.128;-0.771
0.633;-0.062;-0.845
0.694;-0.063;-0.740
0.704;-0.073;-0.727
0.679;-0.065;-0.743
0.721;-0.069;-0.712
0.729;-0.063;-0.739
0.744;-0.082;-0.726
0.753;-0.074;-0.692
0.736;-0.065;-0.673
0.756;-0.052;-0.651
0.738;-0.060;-0.650
0.767;-0.074;-0.652
0.775;-0.073;-0.636
0.735;-0.029;-0.614
0.743;-0.051;-0.633
0.755;-0.046;-0.639
0.739;-0.044;-0.640
0.741;-0.046;-0.625
0.746;-0.034;-0.659
0.734;-0.029;-0.648
0.758;-0.046;-0.660
0.768;-0.031;-0.631
0.759;-0.036;-0.642
0.754;-0.041;-0.674
0.741;-0.029;-0.651
0.745;-0.031;-0.665
0.731;-0.021;-0.655
0.742;-0.033;-0.655
0.735;-0.022;-0.638
0.732;-0.043;-0.660
0.751;-0.006;-0.646
0.738;-0.033;-0.629
0.742;-0.044;-0.634
0.749;-0.046;-0.634
0.767;-0.067;-0.641
0.752;-0.050;-0.646
0.739;-0.043;-0.660
0.735;-0.026;-0.647
0.753;-0.044;-0.657
0.748;-0.050;-0.644
0.738;-0.036;-0.663
0.738;-0.034;-0.644
0.747;-0.031;-0.646
0.721;-0.032;-0.650
0.748;-0.039;-0.644
0.758;-0.056;-0.650
0.746;-0.043;-0.640
0.730;-0.039;-0.638
0.753;-0.035;-0.646
0.747;-0.043;-0.658
0.752;-0.048;-0.623
0.737;-0.039;-0.638
0.739;-0.043;-0.660
0.746;-0.040;-0.658
0.749;-0.042;-0.653
0.738;-0.035;-0.644
0.739;-0.043;-0.657
0.746;-0.042;-0.649
0.738;-0.040;-0.659
0.729;-0.037;-0.646
0.737;-0.054;-0.660
0.749;-0.043;-0.657
0.741;-0.050;-0.667
0.753;-0.048;-0.650
0.729;-0.029;-0.647
0.729;-0.021;-0.642
0.733;-0.045;-0.647
0.746;-0.061;-0.649
0.751;-0.050;-0.657
0.737;-0.041;-0.654
0.739;-0.055;-0.650
0.729;-0.026;-0.653
0.729;-0.038;-0.654
0.734;-0.059;-0.665
0.743;-0.045;-0.651
0.728;-0.031;-0.654
0.725;-0.036;-0.646
0.736;-0.044;-0.660
0.743;-0.049;-0.662
0.758;-0.052;-0.655
0.737;-0.030;-0.653
0.733;-0.042;-0.650
