value,index
287,353
287,354
286,354
286,355
286,355
286,356
286,356
287,356
287,357
288,357
289,358
291,358
292,359
293,359
295,360
296,360
298,360
299,361
301,361
302,362
303,362
304,363
304,363
304,364
305,364
304,365
304,365
303,365
303,366
302,366
301,367
301,367
299,368
298,368
297,369
296,369
295,369
294,370
293,370
292,371
291,371
290,372
289,372
288,373
288,373
287,373
287,374
287,374
287,375
287,375
287,376
288,376
289,377
290,377
291,378
293,378
294,378
295,379
297,379
298,380
300,380
301,381
303,381
304,382
305,382
306,382
306,384
307,384
307,385
307,385
306,386
305,386
305,387
304,387
303,387
302,388
302,388
300,389
300,389
299,390
298,390
297,391
296,391
295,392
294,392
293,392
292,393
292,393
292,394
291,394
291,395
291,395
291,396
291,396
292,396
293,397
294,397
295,398
296,398
298,399
299,399
301,400
303,400
304,400
306,401
307,401
309,402
310,402
311,403
312,403
312,404
312,404
313,405
312,405
312,405
311,406
310,406
309,407
309,407
307,408
307,408
306,409
304,409
304,409
302,410
301,410
300,411
300,411
298,412
297,412
297,413
296,413
296,413
295,414
295,414
295,415
295,415
295,416
296,416
297,417
298,417
299,418
300,418
302,418
303,419
305,419
306,420
307,420
309,421
310,421
312,422
313,422
314,422
314,423
314,423
314,424
314,424
314,425
313,425
312,427
311,427
310,427
309,428
308,428
307,429
306,429
305,430
303,430
302,431
301,431
300,432
299,432
298,432
297,433
296,433
296,434
295,434
295,435
295,435
294,436
294,436
295,436
295,437
296,437
297,438
298,438
300,439
301,439
302,440
304,440
305,440
307,441
307,441
308,442
309,442
310,443
310,443
310,444
310,444
310,445
309,445
309,445
308,446
307,446
306,447
305,447
304,448
303,448
302,449
301,449
300,449
299,450
298,450
298,451
297,451
296,452
296,452
295,453
295,453
294,453
294,454
294,454
294,455
295,455
295,456
295,456
296,457
297,457
298,458
300,458
301,458
302,459
303,459
304,460
305,460
306,461
308,461
308,462
309,462
309,462
309,463
309,463
309,464
309,464
308,465
307,465
306,466
306,466
305,466
304,467
303,467
302,468
301,468
300,470
299,470
298,471
297,471
296,472
296,472
295,472
294,473
294,473
294,474
293,474
293,475
293,475
294,476
294,476
294,476
295,477
296,477
297,478
298,478
299,479
301,479
302,480
303,480
304,480
305,481
306,481
307,482
309,482
309,483
309,483
309,484
309,484
309,485
309,485
308,485
307,486
306,486
305,487
304,487
303,488
303,488
302,489
301,489
299,489
299,490
298,490
297,491
296,491
295,492
294,492
294,493
293,493
293,493
293,494
293,494
293,495
293,495
294,496
294,496
295,497
296,497
297,498
298,498
299,498
301,499
302,499
303,500
304,500
305,501
306,501
306,502
308,502
308,502
308,503
308,503
307,504
307,504
306,505
305,505
304,506
303,506
302,506
301,507
300,507
298,508
297,508
296,509
294,509
293,510
292,510
291,512
289,512
288,512
287,513
286,513
286,514
285,514
285,515
285,515
285,516
285,516
285,516
286,517
287,517
289,518
290,518
292,519
294,519
296,520
298,520
300,520
302,521
304,521
306,522
308,522
310,523
312,523
313,524
314,524
315,525
316,525
316,525
317,526
317,526
317,527
318,527
318,528
318,528
318,529
318,529
318,529
318,530
319,530
319,531
319,531
319,532
320,532
320,533
321,533
322,533
323,534
323,534
325,535
326,535
328,536
330,536
331,537
334,537
336,538
338,538
340,538
343,539
345,539
347,540
350,540
352,541
354,541
355,542
357,542
359,542
360,543
361,543
361,544
361,544
361,545
360,545
359,546
359,546
357,546
356,547
355,547
354,548
352,548
351,549
350,549
348,550
347,550
346,551
345,551
343,551
342,552
341,552
340,553
340,553
339,555
339,555
338,556
338,556
338,556
338,557
339,557
340,558
340,558
341,559
343,559
343,560
345,560
346,560
347,561
348,561
349,562
350,562
351,563
351,563
351,564
351,564
351,565
351,565
350,565
349,566
348,566
347,567
345,567
344,568
343,568
342,569
340,569
339,569
337,570
336,570
334,571
333,571
332,572
330,572
329,573
329,573
327,573
327,574
326,574
325,575
325,575
325,576
325,576
325,577
325,577
326,578
327,578
328,578
329,579
330,579
331,580
332,580
333,581
334,581
335,582
336,582
336,582
336,583
337,583
336,584
336,584
335,585
334,585
333,586
332,586
331,586
330,587
329,587
327,588
326,588
324,589
323,589
321,590
320,590
319,591
317,591
316,591
314,592
313,592
313,593
312,593
311,594
310,594
310,595
310,595
310,595
310,596
310,596
311,598
312,598
313,599
314,599
315,600
316,600
317,600
318,601
320,601
320,602
321,602
323,603
323,603
323,604
323,604
323,605
323,605
322,605
321,606
320,606
319,607
318,607
317,608
316,608
314,609
313,609
311,609
310,610
309,610
307,611
306,611
305,612
304,612
302,613
302,613
301,613
300,614
300,614
300,615
299,615
299,616
299,616
300,617
301,617
301,618
302,618
303,618
304,619
305,619
307,620
308,620
309,621
310,621
312,622
312,622
314,622
314,623
314,623
314,624
314,624
314,625
313,625
312,626
311,626
310,626
310,627
308,627
307,628
306,628
305,629
304,629
302,630
301,630
300,631
299,631
298,631
297,632
296,632
295,633
295,633
294,634
294,634
293,635
293,635
293,635
294,636
294,636
295,637
296,637
297,638
299,638
300,640
301,640
303,640
304,641
305,641
306,642
307,642
309,643
309,643
310,644
310,644
310,645
310,645
310,645
309,646
308,646
308,647
306,647
306,648
304,648
303,649
302,649
301,649
300,650
298,650
297,651
296,651
295,652
294,652
293,653
292,653
292,653
292,654
291,654
290,655
290,655
290,656
291,656
291,657
292,657
293,658
294,658
295,658
296,659
298,659
299,660
301,660
302,661
304,661
305,662
306,662
307,662
308,663
308,663
308,664
308,664
308,665
307,665
307,666
306,666
305,666
304,667
303,667
302,668
301,668
300,669
299,669
297,670
296,670
295,671
294,671
293,671
292,672
291,672
290,673
290,673
289,674
289,674
289,675
288,675
289,675
289,676
289,676
290,677
292,677
293,678
294,678
295,679
297,679
298,679
300,680
301,680
302,681
303,681
304,683
305,683
306,684
306,684
306,685
306,685
306,685
305,686
304,686
303,687
303,687
302,688
301,688
300,689
299,689
297,689
296,690
295,690
294,691
293,691
291,692
291,692
290,693
289,693
288,693
288,694
287,694
287,695
287,695
287,696
287,696
287,697
288,697
289,698
290,698
291,698
293,699
294,699
295,700
297,700
298,701
300,701
301,702
302,702
303,702
304,703
304,703
304,704
304,704
304,705
304,705
303,706
302,706
302,706
301,707
300,707
299,708
298,708
297,709
295,709
294,710
293,710
292,711
291,711
290,711
289,712
288,712
287,713
287,713
286,714
286,714
286,715
286,715
286,715
287,716
287,716
288,717
289,717
290,718
291,718
293,719
294,719
296,719
297,720
298,720
300,721
301,721
302,722
303,722
304,723
304,723
304,724
304,724
304,724
304,726
303,726
302,727
301,727
301,728
299,728
298,729
298,729
297,729
295,730
294,730
293,731
292,731
291,732
290,732
289,733
288,733
288,733
287,734
287,734
287,735
286,735
286,736
287,736
287,737
288,737
289,738
290,738
291,738
293,739
294,739
295,740
297,740
298,741
299,741
301,742
302,742
303,742
304,743
304,743
305,744
305,744
305,745
305,745
304,746
303,746
303,746
302,747
301,747
300,748
299,748
298,749
297,749
295,750
294,750
293,751
292,751
291,751
290,752
289,752
288,753
288,753
287,754
287,754
287,755
287,755
287,755
287,756
288,756
289,757
290,757
291,758
292,758
293,759
295,759
297,759
298,760
300,760
301,761
302,761
303,762
304,762
305,763
306,763
306,764
306,764
306,764
306,765
305,765
304,766
303,766
303,768
302,768
301,769
300,769
299,769
298,770
297,770
296,771
295,771
294,772
293,772
292,773
292,773
291,773
290,774
290,774
290,775
290,775
290,776
290,776
291,777
292,777
293,778
294,778
295,778
297,779
298,779
300,780
301,780
303,781
304,781
305,782
307,782
309,782
310,783
310,783
311,784
311,784
311,785
311,785
310,786
309,786
309,786
308,787
307,787
307,788
306,788
304,789
303,789
303,790
302,790
301,791
300,791
299,791
298,792
297,792
296,793
296,793
295,794
295,794
295,795
295,795
295,795
295,796
296,796
297,797
298,797
299,798
300,798
302,799
303,799
305,799
306,800
307,800
309,801
310,801
312,802
313,802
313,803
314,803
314,804
315,804
315,804
314,805
313,805
312,806
311,806
311,807
310,807
309,808
308,808
306,808
305,809
304,809
303,811
302,811
301,812
300,812
299,813
298,813
297,813
296,814
296,814
295,815
295,815
295,816
295,816
295,817
296,817
297,818
298,818
299,818
300,819
301,819
303,820
304,820
305,821
307,821
308,822
309,822
310,822
312,823
312,823
312,824
312,824
312,825
311,825
311,826
310,826
309,826
308,827
307,827
306,828
304,828
303,829
302,829
301,830
300,830
299,831
297,831
296,831
295,832
294,832
293,833
292,833
292,834
291,834
291,835
290,835
290,835
291,836
291,836
292,837
293,837
293,838
294,838
296,839
297,839
298,839
299,840
301,840
302,841
303,841
305,842
305,842
306,843
307,843
307,844
307,844
306,844
306,845
305,845
304,846
303,846
303,847
301,847
301,848
299,848
298,848
297,849
295,849
294,850
293,850
292,851
291,851
290,852
289,852
288,852
288,854
287,854
287,855
286,855
286,856
286,856
286,857
287,857
288,858
289,858
290,858
291,859
292,859
294,860
295,860
296,861
297,861
299,862
300,862
301,862
302,863
303,863
303,864
303,864
303,865
303,865
302,866
301,866
301,866
300,867
299,867
298,868
297,868
296,869
294,869
294,870
292,870
291,871
290,871
289,871
288,872
287,872
286,873
285,873
285,874
284,874
284,875
284,875
284,875
284,876
284,876
285,877
286,877
287,878
288,878
289,879
291,879
292,879
293,880
295,880
296,881
298,881
299,882
300,882
301,883
301,883
301,884
302,884
301,884
301,885
