t;emg
798;756
799;756
800;756
801;756
802;756
803;756
804;756
805;756
806;756
807;756
808;756
809;756
810;756
811;756
812;756
813;756
814;755
815;755
816;755
817;756
818;755
819;755
820;755
821;755
822;755
823;755
824;755
825;755
826;755
827;755
828;755
829;755
830;755
831;755
832;755
833;755
834;755
835;755
836;755
837;755
838;755
839;755
840;755
841;755
842;755
843;755
844;755
845;755
846;755
847;755
848;755
849;755
850;755
851;755
852;755
853;755
854;755
855;755
856;755
857;755
858;755
859;755
860;755
861;755
862;755
863;755
864;755
865;755
866;755
867;755
868;755
869;755
870;755
871;755
872;755
873;755
874;755
875;755
876;755
877;755
878;755
879;755
880;755
881;755
882;755
883;755
884;755
885;755
886;755
887;755
888;755
889;755
890;754
891;755
892;755
893;755
894;754
895;755
896;755
897;754
898;755
899;754
900;754
901;754
902;754
903;754
904;755
905;755
906;755
907;754
908;755
909;755
910;754
911;755
912;755
913;755
914;755
915;754
916;755
917;755
918;755
919;754
920;755
921;754
922;754
923;755
924;754
925;754
926;754
927;754
928;755
929;754
930;754
931;754
932;754
933;754
934;754
935;754
936;754
937;754
938;754
939;754
940;754
941;754
942;754
943;754
944;754
945;754
946;754
947;754
948;754
949;754
950;754
951;754
952;754
953;754
954;754
955;754
956;754
957;754
958;754
959;754
960;754
961;754
962;754
963;754
964;753
965;754
966;754
967;754
968;754
969;754
970;754
971;754
972;754
973;754
974;754
975;754
976;754
977;754
978;754
979;754
980;753
981;754
982;754
983;754
984;754
985;753
986;753
987;753
988;754
989;753
990;753
991;753
992;753
993;753
994;753
995;753
996;753
997;753
998;753
999;753
1000;753
1001;753
1002;753
1003;753
1004;753
1005;753
1006;753
1007;753
1008;753
1009;753
1010;753
1011;753
1012;753
1013;753
1014;753
1015;753
1016;753
1017;753
1018;753
1019;753
1020;753
1021;753
1022;753
1023;753
1024;753
1025;753
1026;753
1027;753
1028;753
1029;752
1030;753
1031;753
1032;753
1033;753
1034;753
1035;753
1036;753
1037;753
1038;753
1039;753
1040;753
1041;753
1042;753
1043;753
1044;753
1045;753
1046;752
1047;752
1048;753
1049;752
1050;752
1051;752
1052;753
1053;752
1054;752
1055;752
1056;753
1057;752
1058;752
1059;752
1060;752
1061;752
1062;752
1063;752
1064;752
1065;752
1066;752
1067;752
1068;752
1069;752
1070;752
1071;752
1072;752
1073;752
1074;752
1075;752
1076;752
1077;752
1078;752
1079;752
1080;752
1081;752
1082;752
1083;752
1084;753
1085;752
1086;752
1087;752
1088;752
1089;752
1090;752
1091;752
1092;752
1093;752
1094;752
1095;752
1096;752
1097;752
1098;752
1099;752
1100;752
1101;752
1102;752
1103;752
1104;752
1105;752
1106;752
1107;752
1108;752
1109;752
1110;752
1111;752
1112;752
1113;752
1114;752
1115;752
1116;752
1117;751
1118;752
1119;752
1120;752
1121;752
1122;752
1123;752
1124;752
1125;752
1126;752
1127;752
1128;752
1129;752
1130;752
1131;752
1132;752
1133;752
1134;752
1135;752
1136;752
1137;752
1138;752
1139;752
1140;752
1141;752
1142;752
1143;752
1144;752
1145;752
1146;752
1147;752
1148;752
1149;752
1150;752
1151;752
1152;751
1153;751
1154;751
1155;752
1156;752
1157;751
1158;751
1159;751
1160;751
1161;751
1162;751
1163;751
1164;751
1165;751
1166;751
1167;751
1168;751
1169;751
1170;751
1171;751
1172;751
1173;751
1174;751
1175;751
1176;751
1177;751
1178;751
1179;751
1180;751
1181;751
1182;751
1183;751
1184;751
1185;751
1186;751
1187;751
1188;751
1189;751
1190;751
1191;751
1192;751
1193;751
1194;751
1195;751
1196;751
1197;751
1198;751
1199;751
1200;751
1201;751
1202;751
1203;751
1204;751
1205;751
1206;751
1207;751
1208;751
1209;751
1210;751
1211;751
1212;751
1213;751
1214;751
1215;751
1216;751
1217;751
1218;751
1219;751
1220;750
1221;751
1222;751
1223;750
1224;750
1225;750
1226;750
1227;750
1228;750
1229;750
1230;750
1231;750
1232;750
1233;750
1234;750
1235;750
1236;750
1237;750
1238;750
1239;750
1240;750
1241;750
1242;751
1243;750
1244;751
1245;750
1246;750
1247;750
1248;750
1249;750
1250;750
1251;750
1252;750
1253;750
1254;750
1255;750
1256;750
1257;750
1258;750
1259;750
1260;750
1261;750
1262;750
1263;750
1264;750
1265;750
1266;750
1267;750
1268;750
1269;750
1270;750
1271;750
1272;750
