emg;t
748;0
748;1
748;2
748;3
748;4
748;5
748;6
748;7
748;8
748;9
748;10
748;11
748;12
748;13
748;14
748;15
748;16
748;17
748;18
748;19
748;20
748;21
748;22
748;23
748;24
748;25
748;26
748;27
748;28
748;29
748;30
748;31
748;32
748;33
748;34
748;35
747;36
748;37
748;38
748;39
748;40
748;41
748;42
748;43
748;44
748;45
748;46
748;47
748;48
748;49
748;50
747;51
748;52
748;53
748;54
747;55
748;56
748;57
748;58
748;59
748;60
748;61
748;62
748;63
748;64
748;65
748;66
748;67
748;68
748;69
748;70
748;71
748;72
748;73
748;74
748;75
748;76
748;77
748;78
748;79
748;80
748;81
748;82
748;83
748;84
748;85
748;86
748;87
748;88
748;89
748;90
748;91
748;92
748;93
748;94
748;95
748;96
748;97
748;98
748;99
748;100
748;101
748;102
748;103
748;104
748;105
748;106
748;107
748;108
748;109
748;110
748;111
747;112
748;113
748;114
748;115
748;116
747;117
748;118
748;119
748;120
748;121
748;122
748;123
748;124
748;125
748;126
748;127
748;128
748;129
748;130
748;131
748;132
748;133
748;134
748;135
748;136
748;137
748;138
748;139
748;140
748;141
748;142
748;143
748;144
748;145
748;146
748;147
748;148
747;149
748;150
748;151
748;152
748;153
748;154
748;155
748;156
748;157
748;158
748;159
748;160
748;161
748;162
748;163
748;164
748;165
748;166
748;167
748;168
748;169
748;170
748;171
748;172
748;173
748;174
748;175
748;176
748;177
748;178
748;179
748;180
748;181
748;182
748;183
748;184
748;185
748;186
748;187
748;188
748;189
748;190
748;191
748;192
748;193
748;194
748;195
748;196
748;197
748;198
748;199
748;200
748;201
748;202
748;203
748;204
748;205
748;206
748;207
747;208
748;209
748;210
748;211
748;212
748;213
748;214
747;215
748;216
748;217
748;218
748;219
748;220
748;221
748;222
748;223
748;224
747;225
748;226
748;227
748;228
748;229
748;230
748;231
748;232
748;233
748;234
748;235
748;236
748;237
748;238
748;239
748;240
748;241
748;242
748;243
748;244
748;245
748;246
748;247
748;248
748;249
748;250
748;251
748;252
748;253
748;254
748;255
748;256
748;257
748;258
748;259
748;260
748;261
748;262
748;263
748;264
748;265
747;266
748;267
748;268
747;269
748;270
748;271
748;272
748;273
748;274
748;275
748;276
748;277
748;278
748;279
748;280
748;281
748;282
748;283
747;284
748;285
748;286
748;287
748;288
748;289
748;290
748;291
748;292
748;293
748;294
748;295
748;296
748;297
748;298
748;299
748;300
748;301
748;302
748;303
748;304
748;305
748;306
748;307
748;308
748;309
748;310
748;311
748;312
748;313
747;314
747;315
747;316
747;317
747;318
747;319
748;320
748;321
747;322
747;323
747;324
747;325
747;326
747;327
747;328
747;329
747;330
747;331
747;332
747;333
747;334
747;335
747;336
747;337
747;338
747;339
747;340
747;341
747;342
748;343
747;344
747;345
747;346
748;347
747;348
747;349
747;350
747;351
747;352
748;353
748;354
747;355
748;356
748;357
748;358
748;359
748;360
748;361
748;362
747;363
747;364
747;365
747;366
748;367
747;368
747;369
747;370
747;371
748;372
747;373
748;374
747;375
747;376
747;377
747;378
747;379
747;380
747;381
747;382
747;383
747;384
747;385
747;386
747;387
748;388
747;389
747;390
747;391
747;392
747;393
747;394
747;395
747;396
747;397
747;398
747;399
747;400
747;401
747;402
747;403
747;404
748;405
747;406
748;407
747;408
748;409
748;410
747;411
748;412
747;413
748;414
748;415
748;416
748;417
748;418
747;419
748;420
748;421
748;422
748;423
748;424
748;425
748;426
747;427
748;428
747;429
747;430
747;431
747;432
747;433
747;434
748;435
747;436
747;437
747;438
747;439
748;440
747;441
747;442
747;443
747;444
747;445
747;446
747;447
748;448
747;449
747;450
747;451
747;452
747;453
747;454
747;455
747;456
747;457
748;458
747;459
748;460
748;461
748;462
747;463
747;464
747;465
748;466
747;467
748;468
748;469
747;470
748;471
748;472
748;473
748;474
747;475
748;476
748;477
748;478
748;479
748;480
748;481
747;482
747;483
748;484
748;485
747;486
747;487
748;488
747;489
747;490
747;491
747;492
748;493
748;494
747;495
747;496
747;497
748;498
748;499
747;500
748;501
747;502
747;503
747;504
747;505
747;506
747;507
747;508
747;509
747;510
747;511
748;512
747;513
747;514
747;515
748;516
748;517
748;518
747;519
748;520
748;521
748;522
748;523
748;524
748;525
747;526
748;527
748;528
748;529
747;530
747;531
747;532
747;533
747;534
747;535
747;536
747;537
747;538
748;539
747;540
747;541
747;542
747;543
747;544
747;545
747;546
747;547
747;548
747;549
747;550
747;551
747;552
747;553
747;554
747;555
747;556
747;557
747;558
747;559
747;560
747;561
747;562
747;563
747;564
747;565
747;566
747;567
747;568
747;569
747;570
747;571
747;572
747;573
747;574
747;575
747;576
747;577
747;578
747;579
747;580
747;581
747;582
747;583
747;584
747;585
747;586
747;587
747;588
747;589
747;590
747;591
747;592
747;593
747;594
747;595
747;596
747;597
747;598
747;599
747;600
747;601
747;602
747;603
746;604
747;605
747;606
747;607
746;608
747;609
747;610
746;611
747;612
747;613
747;614
747;615
746;616
746;617
746;618
746;619
747;620
746;621
746;622
746;623
747;624
747;625
747;626
747;627
746;628
746;629
746;630
747;631
747;632
746;633
747;634
747;635
747;636
747;637
747;638
747;639
747;640
746;641
747;642
747;643
747;644
747;645
747;646
746;647
746;648
747;649
746;650
747;651
747;652
746;653
746;654
746;655
746;656
746;657
746;658
746;659
746;660
746;661
746;662
746;663
746;664
746;665
746;666
746;667
746;668
746;669
746;670
746;671
746;672
746;673
746;674
746;675
746;676
746;677
746;678
746;679
747;680
747;681
747;682
746;683
747;684
746;685
747;686
747;687
747;688
746;689
746;690
747;691
746;692
747;693
747;694
747;695
746;696
747;697
746;698
746;699
747;700
747;701
747;702
746;703
747;704
747;705
747;706
747;707
747;708
746;709
746;710
747;711
746;712
746;713
746;714
746;715
746;716
746;717
746;718
746;719
746;720
747;721
747;722
746;723
746;724
746;725
746;726
746;727
746;728
746;729
746;730
746;731
746;732
746;733
746;734
746;735
747;736
747;737
747;738
747;739
747;740
746;741
747;742
747;743
747;744
747;745
747;746
747;747
747;748
746;749
747;750
747;751
747;752
747;753
747;754
747;755
747;756
747;757
747;758
747;759
747;760
747;761
747;762
747;763
747;764
747;765
747;766
747;767
747;768
747;769
747;770
747;771
747;772
747;773
747;774
747;775
747;776
747;777
747;778
747;779
746;780
747;781
747;782
747;783
747;784
747;785
747;786
747;787
747;788
747;789
747;790
747;791
747;792
747;793
747;794
747;795
747;796
747;797
747;798
747;799
747;800
747;801
747;802
747;803
747;804
747;805
747;806
747;807
747;808
747;809
747;810
747;811
747;812
747;813
747;814
747;815
747;816
747;817
747;818
747;819
747;820
747;821
747;822
747;823
747;824
747;825
747;826
747;827
747;828
747;829
747;830
747;831
747;832
747;833
747;834
747;835
747;836
747;837
747;838
747;839
747;840
747;841
747;842
747;843
747;844
747;845
747;846
747;847
747;848
747;849
747;850
747;851
747;852
747;853
747;854
747;855
747;856
747;857
747;858
747;859
747;860
747;861
747;862
747;863
747;864
747;865
747;866
747;867
747;868
747;869
747;870
747;871
747;872
747;873
747;874
747;875
747;876
747;877
747;878
747;879
747;880
747;881
747;882
747;883
747;884
747;885
747;886
747;887
747;888
747;889
747;890
747;891
747;892
747;893
747;894
747;895
747;896
747;897
747;898
747;899
747;900
747;901
747;902
747;903
747;904
747;905
747;906
747;907
747;908
747;909
747;910
747;911
747;912
747;913
747;914
747;915
747;916
747;917
747;918
747;919
747;920
747;921
747;922
747;923
747;924
747;925
747;926
747;927
747;928
747;929
747;930
747;931
747;932
747;933
747;934
747;935
747;936
747;937
747;938
747;939
747;940
747;941
747;942
747;943
747;944
747;945
747;946
747;947
747;948
747;949
747;950
747;951
747;952
747;953
747;954
747;955
747;956
747;957
747;958
747;959
747;960
747;961
747;962
747;963
747;964
747;965
747;966
747;967
747;968
747;969
747;970
747;971
747;972
747;973
747;974
747;975
747;976
747;977
747;978
747;979
747;980
747;981
747;982
747;983
747;984
747;985
747;986
747;987
747;988
747;989
747;990
747;991
747;992
747;993
747;994
747;995
747;996
747;997
747;998
747;999
747;1000
747;1001
747;1002
747;1003
747;1004
747;1005
747;1006
747;1007
747;1008
747;1009
747;1010
747;1011
747;1012
747;1013
747;1014
747;1015
747;1016
747;1017
747;1018
747;1019
747;1020
747;1021
747;1022
747;1023
747;1024
747;1025
747;1026
747;1027
747;1028
747;1029
747;1030
747;1031
747;1032
747;1033
747;1034
747;1035
748;1036
747;1037
747;1038
748;1039
748;1040
747;1041
747;1042
747;1043
747;1044
747;1045
747;1046
748;1047
748;1048
747;1049
747;1050
747;1051
747;1052
747;1053
747;1054
747;1055
747;1056
747;1057
747;1058
747;1059
747;1060
747;1061
747;1062
747;1063
747;1064
747;1065
747;1066
747;1067
747;1068
747;1069
747;1070
747;1071
747;1072
747;1073
747;1074
747;1075
747;1076
747;1077
747;1078
747;1079
748;1080
747;1081
747;1082
747;1083
747;1084
747;1085
748;1086
748;1087
747;1088
748;1089
748;1090
748;1091
748;1092
748;1093
747;1094
748;1095
748;1096
748;1097
748;1098
748;1099
748;1100
748;1101
747;1102
748;1103
748;1104
747;1105
747;1106
747;1107
747;1108
747;1109
747;1110
747;1111
747;1112
748;1113
747;1114
747;1115
747;1116
747;1117
747;1118
747;1119
747;1120
747;1121
747;1122
747;1123
748;1124
747;1125
747;1126
747;1127
748;1128
747;1129
747;1130
748;1131
747;1132
747;1133
747;1134
747;1135
748;1136
748;1137
748;1138
748;1139
748;1140
747;1141
748;1142
748;1143
748;1144
748;1145
748;1146
748;1147
748;1148
748;1149
748;1150
748;1151
748;1152
748;1153
748;1154
748;1155
748;1156
748;1157
748;1158
748;1159
748;1160
748;1161
748;1162
748;1163
748;1164
748;1165
748;1166
748;1167
748;1168
748;1169
748;1170
748;1171
748;1172
748;1173
748;1174
748;1175
748;1176
748;1177
748;1178
748;1179
748;1180
748;1181
748;1182
748;1183
748;1184
748;1185
748;1186
748;1187
748;1188
748;1189
748;1190
748;1191
748;1192
748;1193
748;1194
748;1195
748;1196
748;1197
748;1198
748;1199
748;1200
748;1201
748;1202
748;1203
748;1204
748;1205
748;1206
748;1207
748;1208
748;1209
748;1210
748;1211
748;1212
748;1213
748;1214
748;1215
748;1216
748;1217
748;1218
748;1219
748;1220
748;1221
748;1222
748;1223
748;1224
748;1225
748;1226
748;1227
748;1228
748;1229
748;1230
748;1231
748;1232
748;1233
748;1234
748;1235
748;1236
748;1237
748;1238
748;1239
748;1240
748;1241
748;1242
748;1243
748;1244
748;1245
748;1246
748;1247
748;1248
748;1249
748;1250
748;1251
748;1252
748;1253
748;1254
748;1255
748;1256
748;1257
748;1258
748;1259
748;1260
748;1261
748;1262
748;1263
748;1264
748;1265
748;1266
748;1267
748;1268
748;1269
749;1270
748;1271
748;1272
748;1273
748;1274
748;1275
748;1276
748;1277
748;1278
748;1279
748;1280
748;1281
748;1282
748;1283
748;1284
748;1285
748;1286
748;1287
748;1288
748;1289
748;1290
748;1291
748;1292
748;1293
748;1294
748;1295
748;1296
748;1297
748;1298
748;1299
748;1300
748;1301
748;1302
748;1303
748;1304
748;1305
748;1306
748;1307
748;1308
748;1309
748;1310
748;1311
748;1312
748;1313
748;1314
749;1315
748;1316
748;1317
748;1318
748;1319
749;1320
748;1321
748;1322
748;1323
748;1324
748;1325
748;1326
748;1327
748;1328
748;1329
748;1330
748;1331
748;1332
748;1333
748;1334
748;1335
748;1336
748;1337
748;1338
748;1339
748;1340
748;1341
748;1342
748;1343
748;1344
748;1345
748;1346
748;1347
748;1348
748;1349
748;1350
748;1351
748;1352
748;1353
748;1354
748;1355
748;1356
748;1357
748;1358
748;1359
748;1360
748;1361
748;1362
748;1363
749;1364
748;1365
748;1366
748;1367
748;1368
749;1369
748;1370
749;1371
749;1372
749;1373
749;1374
749;1375
749;1376
748;1377
748;1378
748;1379
749;1380
748;1381
749;1382
749;1383
749;1384
749;1385
749;1386
748;1387
748;1388
748;1389
748;1390
748;1391
748;1392
748;1393
748;1394
749;1395
748;1396
748;1397
748;1398
748;1399
748;1400
748;1401
749;1402
748;1403
748;1404
749;1405
749;1406
748;1407
748;1408
749;1409
748;1410
748;1411
749;1412
748;1413
748;1414
749;1415
748;1416
749;1417
748;1418
748;1419
749;1420
748;1421
749;1422
748;1423
749;1424
749;1425
748;1426
749;1427
749;1428
749;1429
749;1430
749;1431
749;1432
749;1433
749;1434
749;1435
749;1436
749;1437
749;1438
749;1439
749;1440
749;1441
748;1442
749;1443
749;1444
749;1445
749;1446
749;1447
749;1448
749;1449
749;1450
749;1451
749;1452
749;1453
748;1454
749;1455
749;1456
749;1457
749;1458
749;1459
748;1460
749;1461
748;1462
749;1463
748;1464
749;1465
749;1466
749;1467
748;1468
749;1469
748;1470
749;1471
749;1472
748;1473
749;1474
749;1475
749;1476
749;1477
749;1478
749;1479
749;1480
749;1481
749;1482
749;1483
749;1484
749;1485
749;1486
749;1487
749;1488
749;1489
749;1490
749;1491
749;1492
749;1493
749;1494
749;1495
749;1496
749;1497
749;1498
749;1499
749;1500
749;1501
749;1502
749;1503
749;1504
749;1505
749;1506
749;1507
749;1508
749;1509
748;1510
749;1511
749;1512
749;1513
749;1514
749;1515
749;1516
749;1517
748;1518
749;1519
748;1520
749;1521
749;1522
749;1523
749;1524
748;1525
749;1526
749;1527
748;1528
748;1529
749;1530
749;1531
749;1532
749;1533
749;1534
749;1535
749;1536
748;1537
749;1538
749;1539
748;1540
749;1541
749;1542
749;1543
749;1544
749;1545
749;1546
749;1547
749;1548
748;1549
749;1550
749;1551
749;1552
749;1553
749;1554
749;1555
748;1556
748;1557
749;1558
749;1559
748;1560
749;1561
749;1562
748;1563
748;1564
749;1565
748;1566
748;1567
748;1568
748;1569
748;1570
749;1571
748;1572
748;1573
748;1574
748;1575
748;1576
748;1577
748;1578
748;1579
748;1580
748;1581
748;1582
748;1583
748;1584
748;1585
748;1586
748;1587
748;1588
748;1589
748;1590
749;1591
748;1592
748;1593
749;1594
749;1595
748;1596
749;1597
749;1598
749;1599
748;1600
749;1601
748;1602
748;1603
749;1604
749;1605
749;1606
749;1607
749;1608
748;1609
748;1610
749;1611
749;1612
748;1613
748;1614
748;1615
749;1616
748;1617
748;1618
748;1619
748;1620
748;1621
748;1622
748;1623
748;1624
748;1625
748;1626
748;1627
748;1628
748;1629
748;1630
748;1631
748;1632
748;1633
748;1634
748;1635
