emg;t
745;0
746;1
746;2
746;3
746;4
746;5
746;6
746;7
746;8
746;9
746;10
746;11
746;12
746;13
746;14
746;15
746;16
746;17
746;18
746;19
746;20
746;21
746;22
746;23
746;24
746;25
746;26
746;27
746;28
746;29
746;30
745;31
746;32
745;33
745;34
745;35
745;36
746;37
746;38
745;39
746;40
746;41
746;42
745;43
746;44
745;45
746;46
746;47
746;48
746;49
746;50
746;51
746;52
746;53
745;54
746;55
746;56
746;57
746;58
746;59
746;60
746;61
746;62
746;63
746;64
746;65
746;66
746;67
746;68
746;69
746;70
746;71
746;72
746;73
746;74
746;75
746;76
746;77
746;78
746;79
746;80
746;81
746;82
746;83
746;84
746;85
746;86
746;87
746;88
746;89
746;90
746;91
746;92
746;93
746;94
746;95
746;96
746;97
745;98
746;99
746;100
746;101
745;102
746;103
745;104
746;105
746;106
746;107
746;108
746;109
746;110
746;111
745;112
746;113
746;114
746;115
746;116
746;117
746;118
746;119
746;120
746;121
746;122
746;123
746;124
746;125
746;126
746;127
746;128
746;129
746;130
746;131
746;132
746;133
746;134
746;135
746;136
746;137
746;138
746;139
746;140
746;141
746;142
746;143
746;144
746;145
746;146
746;147
746;148
746;149
746;150
746;151
746;152
746;153
746;154
746;155
746;156
746;157
746;158
746;159
746;160
746;161
746;162
746;163
746;164
746;165
746;166
746;167
746;168
746;169
746;170
746;171
746;172
746;173
746;174
746;175
746;176
746;177
746;178
746;179
746;180
746;181
746;182
746;183
746;184
746;185
746;186
746;187
746;188
746;189
746;190
746;191
746;192
746;193
746;194
746;195
746;196
746;197
746;198
746;199
746;200
746;201
746;202
746;203
746;204
745;205
746;206
746;207
746;208
746;209
746;210
746;211
746;212
746;213
746;214
746;215
746;216
746;217
745;218
746;219
746;220
746;221
746;222
746;223
746;224
746;225
746;226
746;227
746;228
746;229
746;230
746;231
746;232
746;233
746;234
746;235
746;236
746;237
746;238
746;239
746;240
746;241
746;242
746;243
746;244
746;245
746;246
746;247
746;248
746;249
746;250
746;251
746;252
746;253
746;254
746;255
746;256
746;257
746;258
746;259
746;260
746;261
746;262
746;263
746;264
746;265
746;266
746;267
745;268
746;269
746;270
745;271
746;272
746;273
746;274
746;275
746;276
746;277
746;278
746;279
746;280
745;281
745;282
746;283
746;284
746;285
746;286
745;287
746;288
746;289
746;290
746;291
746;292
746;293
746;294
746;295
746;296
746;297
746;298
745;299
746;300
746;301
746;302
746;303
746;304
746;305
746;306
746;307
746;308
746;309
746;310
746;311
746;312
746;313
746;314
746;315
746;316
746;317
746;318
745;319
746;320
745;321
746;322
746;323
746;324
746;325
746;326
746;327
746;328
746;329
746;330
746;331
746;332
746;333
746;334
746;335
746;336
746;337
746;338
746;339
746;340
746;341
746;342
746;343
746;344
746;345
746;346
746;347
746;348
746;349
746;350
746;351
746;352
746;353
746;354
746;355
746;356
746;357
746;358
746;359
746;360
746;361
746;362
746;363
746;364
746;365
746;366
746;367
746;368
746;369
746;370
746;371
746;372
746;373
746;374
746;375
746;376
746;377
746;378
746;379
746;380
746;381
746;382
746;383
746;384
746;385
746;386
746;387
746;388
746;389
746;390
746;391
746;392
746;393
746;394
746;395
746;396
746;397
746;398
746;399
746;400
746;401
746;402
746;403
746;404
746;405
746;406
746;407
746;408
746;409
746;410
746;411
746;412
746;413
746;414
746;415
746;416
746;417
746;418
746;419
746;420
746;421
746;422
746;423
746;424
746;425
746;426
746;427
746;428
746;429
746;430
746;431
746;432
746;433
746;434
746;435
746;436
746;437
746;438
746;439
746;440
746;441
746;442
746;443
746;444
746;445
746;446
746;447
746;448
746;449
746;450
747;451
746;452
747;453
747;454
747;455
747;456
747;457
747;458
747;459
747;460
747;461
747;462
747;463
747;464
747;465
747;466
747;467
747;468
747;469
747;470
747;471
747;472
747;473
747;474
747;475
747;476
747;477
747;478
747;479
747;480
747;481
747;482
746;483
747;484
747;485
747;486
746;487
747;488
747;489
747;490
747;491
746;492
747;493
746;494
747;495
747;496
746;497
747;498
747;499
746;500
747;501
747;502
747;503
747;504
747;505
747;506
747;507
746;508
747;509
747;510
746;511
747;512
747;513
747;514
747;515
747;516
747;517
747;518
747;519
747;520
747;521
747;522
747;523
747;524
747;525
747;526
747;527
747;528
747;529
747;530
747;531
747;532
747;533
747;534
747;535
747;536
747;537
747;538
747;539
747;540
747;541
747;542
747;543
747;544
747;545
747;546
747;547
747;548
747;549
747;550
747;551
747;552
747;553
747;554
747;555
747;556
747;557
747;558
747;559
747;560
747;561
747;562
747;563
747;564
747;565
747;566
747;567
747;568
747;569
747;570
747;571
747;572
747;573
747;574
747;575
747;576
747;577
747;578
747;579
747;580
747;581
747;582
747;583
747;584
747;585
747;586
747;587
747;588
747;589
747;590
747;591
747;592
747;593
747;594
747;595
747;596
747;597
747;598
747;599
747;600
747;601
747;602
747;603
747;604
747;605
747;606
746;607
747;608
747;609
747;610
747;611
747;612
747;613
747;614
747;615
747;616
747;617
747;618
747;619
747;620
747;621
747;622
747;623
747;624
747;625
746;626
747;627
747;628
747;629
747;630
747;631
747;632
747;633
747;634
747;635
747;636
747;637
747;638
747;639
747;640
747;641
747;642
747;643
747;644
747;645
747;646
747;647
747;648
747;649
747;650
747;651
747;652
747;653
747;654
746;655
747;656
747;657
747;658
747;659
747;660
747;661
747;662
747;663
747;664
747;665
746;666
747;667
747;668
747;669
747;670
747;671
747;672
747;673
746;674
746;675
747;676
747;677
746;678
747;679
747;680
747;681
747;682
747;683
747;684
747;685
747;686
747;687
747;688
747;689
747;690
747;691
747;692
747;693
747;694
747;695
747;696
747;697
747;698
747;699
747;700
747;701
747;702
747;703
747;704
747;705
747;706
747;707
747;708
747;709
747;710
747;711
747;712
747;713
747;714
747;715
747;716
747;717
747;718
747;719
747;720
747;721
747;722
747;723
747;724
747;725
747;726
747;727
747;728
747;729
747;730
747;731
747;732
747;733
747;734
747;735
747;736
747;737
747;738
747;739
747;740
747;741
747;742
747;743
747;744
747;745
747;746
747;747
747;748
747;749
747;750
747;751
747;752
747;753
747;754
747;755
747;756
747;757
747;758
747;759
747;760
747;761
747;762
747;763
747;764
747;765
747;766
747;767
747;768
747;769
747;770
747;771
747;772
747;773
747;774
747;775
747;776
747;777
747;778
747;779
747;780
747;781
747;782
747;783
747;784
747;785
747;786
747;787
747;788
747;789
747;790
747;791
747;792
747;793
747;794
747;795
747;796
747;797
747;798
747;799
747;800
747;801
747;802
747;803
747;804
747;805
747;806
747;807
747;808
747;809
747;810
747;811
747;812
747;813
747;814
747;815
747;816
747;817
747;818
747;819
747;820
747;821
747;822
747;823
747;824
747;825
747;826
747;827
747;828
747;829
747;830
747;831
747;832
747;833
747;834
747;835
747;836
747;837
747;838
747;839
747;840
747;841
747;842
747;843
747;844
747;845
747;846
747;847
747;848
747;849
747;850
747;851
747;852
747;853
747;854
747;855
747;856
747;857
747;858
747;859
747;860
747;861
747;862
747;863
747;864
747;865
747;866
747;867
747;868
747;869
747;870
747;871
747;872
747;873
747;874
747;875
747;876
747;877
747;878
747;879
747;880
747;881
747;882
747;883
747;884
747;885
747;886
747;887
747;888
747;889
747;890
747;891
747;892
747;893
747;894
747;895
747;896
747;897
746;898
747;899
747;900
747;901
747;902
747;903
747;904
747;905
747;906
747;907
747;908
747;909
747;910
747;911
747;912
747;913
747;914
747;915
747;916
747;917
747;918
747;919
747;920
747;921
747;922
747;923
747;924
747;925
747;926
747;927
747;928
747;929
747;930
747;931
747;932
747;933
747;934
747;935
746;936
746;937
747;938
747;939
747;940
746;941
747;942
747;943
746;944
746;945
747;946
746;947
747;948
747;949
747;950
746;951
747;952
747;953
747;954
747;955
747;956
746;957
747;958
747;959
747;960
747;961
746;962
746;963
747;964
747;965
747;966
747;967
747;968
747;969
747;970
747;971
747;972
747;973
747;974
747;975
747;976
747;977
747;978
747;979
747;980
747;981
747;982
747;983
747;984
747;985
747;986
747;987
746;988
747;989
746;990
746;991
746;992
747;993
746;994
746;995
746;996
747;997
746;998
747;999
746;1000
746;1001
746;1002
746;1003
746;1004
746;1005
746;1006
747;1007
747;1008
746;1009
746;1010
746;1011
746;1012
746;1013
746;1014
746;1015
746;1016
746;1017
746;1018
746;1019
747;1020
746;1021
746;1022
746;1023
746;1024
747;1025
746;1026
747;1027
747;1028
747;1029
747;1030
746;1031
747;1032
747;1033
746;1034
746;1035
747;1036
747;1037
746;1038
747;1039
746;1040
747;1041
747;1042
746;1043
747;1044
746;1045
746;1046
746;1047
746;1048
746;1049
746;1050
746;1051
746;1052
746;1053
746;1054
746;1055
746;1056
746;1057
746;1058
746;1059
746;1060
746;1061
746;1062
746;1063
746;1064
746;1065
746;1066
746;1067
746;1068
746;1069
746;1070
746;1071
746;1072
746;1073
746;1074
746;1075
746;1076
746;1077
746;1078
747;1079
746;1080
746;1081
746;1082
746;1083
747;1084
747;1085
747;1086
746;1087
746;1088
747;1089
747;1090
747;1091
747;1092
747;1093
747;1094
747;1095
747;1096
747;1097
746;1098
746;1099
746;1100
746;1101
746;1102
746;1103
746;1104
746;1105
746;1106
746;1107
746;1108
746;1109
747;1110
746;1111
746;1112
746;1113
746;1114
746;1115
746;1116
746;1117
746;1118
746;1119
746;1120
746;1121
746;1122
746;1123
746;1124
746;1125
746;1126
746;1127
746;1128
746;1129
746;1130
746;1131
746;1132
746;1133
746;1134
746;1135
746;1136
746;1137
746;1138
746;1139
747;1140
746;1141
746;1142
746;1143
746;1144
746;1145
747;1146
747;1147
746;1148
746;1149
746;1150
746;1151
746;1152
746;1153
746;1154
746;1155
746;1156
746;1157
746;1158
746;1159
746;1160
746;1161
746;1162
746;1163
746;1164
746;1165
746;1166
746;1167
746;1168
746;1169
746;1170
746;1171
746;1172
746;1173
746;1174
746;1175
746;1176
746;1177
746;1178
746;1179
746;1180
746;1181
746;1182
746;1183
746;1184
746;1185
746;1186
746;1187
746;1188
746;1189
746;1190
746;1191
746;1192
746;1193
746;1194
746;1195
746;1196
746;1197
746;1198
746;1199
746;1200
746;1201
746;1202
746;1203
747;1204
