emg;t
748;0
748;1
749;2
748;3
749;4
749;5
749;6
749;7
749;8
748;9
749;10
749;11
749;12
749;13
749;14
749;15
749;16
749;17
749;18
749;19
749;20
749;21
749;22
749;23
749;24
749;25
749;26
749;27
749;28
749;29
749;30
749;31
749;32
749;33
749;34
749;35
749;36
749;37
749;38
749;39
749;40
749;41
749;42
749;43
749;44
749;45
749;46
749;47
749;48
749;49
749;50
749;51
749;52
749;53
749;54
749;55
749;56
749;57
749;58
749;59
749;60
749;61
749;62
749;63
749;64
749;65
749;66
749;67
749;68
749;69
749;70
749;71
749;72
749;73
749;74
749;75
749;76
749;77
749;78
749;79
749;80
749;81
749;82
749;83
749;84
749;85
749;86
749;87
749;88
749;89
749;90
749;91
749;92
749;93
749;94
749;95
749;96
749;97
749;98
749;99
749;100
749;101
749;102
749;103
749;104
749;105
749;106
749;107
749;108
749;109
749;110
749;111
749;112
749;113
749;114
749;115
749;116
749;117
749;118
749;119
749;120
749;121
749;122
749;123
749;124
749;125
749;126
749;127
749;128
749;129
749;130
749;131
749;132
749;133
749;134
749;135
749;136
749;137
749;138
749;139
749;140
749;141
749;142
749;143
749;144
749;145
749;146
749;147
749;148
749;149
749;150
749;151
749;152
749;153
749;154
749;155
749;156
749;157
749;158
749;159
749;160
748;161
748;162
749;163
748;164
749;165
749;166
749;167
749;168
748;169
749;170
749;171
748;172
748;173
748;174
749;175
749;176
749;177
748;178
748;179
748;180
749;181
749;182
749;183
749;184
749;185
749;186
749;187
748;188
749;189
749;190
748;191
748;192
748;193
748;194
748;195
748;196
748;197
748;198
748;199
748;200
748;201
748;202
748;203
748;204
748;205
748;206
748;207
748;208
748;209
748;210
748;211
748;212
748;213
748;214
748;215
748;216
748;217
748;218
748;219
748;220
748;221
748;222
748;223
748;224
748;225
748;226
748;227
748;228
748;229
748;230
748;231
748;232
748;233
748;234
748;235
748;236
748;237
748;238
748;239
748;240
748;241
748;242
748;243
748;244
748;245
747;246
748;247
747;248
748;249
748;250
748;251
748;252
747;253
747;254
748;255
748;256
747;257
747;258
747;259
747;260
747;261
747;262
747;263
747;264
747;265
747;266
747;267
747;268
747;269
747;270
747;271
747;272
747;273
747;274
747;275
747;276
747;277
747;278
747;279
747;280
747;281
747;282
747;283
747;284
747;285
747;286
747;287
747;288
747;289
747;290
747;291
747;292
747;293
747;294
747;295
747;296
747;297
747;298
747;299
747;300
747;301
747;302
747;303
747;304
747;305
747;306
746;307
747;308
746;309
746;310
747;311
747;312
746;313
746;314
746;315
746;316
746;317
746;318
746;319
746;320
746;321
746;322
746;323
746;324
746;325
746;326
746;327
746;328
746;329
746;330
746;331
746;332
746;333
746;334
746;335
746;336
746;337
746;338
746;339
746;340
746;341
746;342
746;343
746;344
746;345
746;346
746;347
746;348
746;349
746;350
746;351
746;352
746;353
746;354
746;355
746;356
746;357
746;358
746;359
746;360
746;361
746;362
746;363
746;364
746;365
746;366
746;367
746;368
746;369
746;370
746;371
746;372
746;373
746;374
746;375
746;376
746;377
746;378
746;379
746;380
746;381
746;382
746;383
746;384
746;385
746;386
746;387
746;388
746;389
746;390
746;391
745;392
746;393
746;394
746;395
746;396
746;397
746;398
746;399
746;400
746;401
746;402
746;403
746;404
746;405
746;406
746;407
746;408
746;409
746;410
746;411
746;412
746;413
746;414
746;415
746;416
746;417
746;418
746;419
746;420
746;421
746;422
746;423
746;424
746;425
746;426
746;427
746;428
746;429
746;430
746;431
746;432
746;433
745;434
745;435
745;436
746;437
746;438
745;439
745;440
745;441
745;442
745;443
745;444
745;445
745;446
745;447
745;448
745;449
746;450
745;451
746;452
746;453
745;454
745;455
745;456
745;457
746;458
745;459
746;460
746;461
745;462
746;463
746;464
746;465
745;466
746;467
746;468
745;469
746;470
746;471
745;472
746;473
746;474
746;475
746;476
746;477
746;478
745;479
746;480
746;481
746;482
745;483
745;484
745;485
745;486
745;487
745;488
746;489
745;490
745;491
746;492
746;493
746;494
745;495
746;496
745;497
745;498
746;499
746;500
745;501
746;502
746;503
746;504
746;505
745;506
746;507
746;508
745;509
746;510
746;511
746;512
746;513
746;514
746;515
746;516
746;517
746;518
746;519
746;520
746;521
746;522
746;523
746;524
746;525
746;526
746;527
746;528
746;529
746;530
746;531
746;532
746;533
746;534
746;535
746;536
746;537
746;538
746;539
746;540
746;541
746;542
746;543
746;544
746;545
746;546
746;547
746;548
746;549
746;550
746;551
746;552
746;553
746;554
746;555
746;556
746;557
746;558
746;559
746;560
746;561
746;562
746;563
746;564
746;565
746;566
746;567
746;568
746;569
746;570
746;571
746;572
746;573
746;574
746;575
746;576
746;577
746;578
746;579
746;580
746;581
746;582
746;583
746;584
746;585
746;586
746;587
746;588
746;589
746;590
746;591
746;592
746;593
746;594
746;595
746;596
746;597
746;598
746;599
746;600
746;601
746;602
746;603
746;604
746;605
746;606
746;607
746;608
746;609
746;610
746;611
746;612
746;613
746;614
746;615
746;616
746;617
746;618
746;619
746;620
746;621
746;622
746;623
746;624
746;625
746;626
746;627
746;628
746;629
746;630
746;631
746;632
746;633
746;634
746;635
746;636
746;637
746;638
746;639
746;640
746;641
746;642
746;643
746;644
746;645
746;646
746;647
746;648
746;649
746;650
746;651
746;652
746;653
746;654
746;655
746;656
746;657
746;658
746;659
746;660
746;661
746;662
746;663
746;664
746;665
746;666
746;667
746;668
746;669
746;670
746;671
746;672
746;673
746;674
746;675
746;676
746;677
746;678
746;679
746;680
746;681
746;682
746;683
746;684
746;685
746;686
746;687
746;688
746;689
746;690
746;691
746;692
746;693
746;694
746;695
746;696
746;697
746;698
746;699
746;700
746;701
746;702
745;703
745;704
745;705
746;706
745;707
745;708
745;709
745;710
746;711
745;712
745;713
746;714
746;715
745;716
745;717
745;718
745;719
745;720
745;721
745;722
745;723
746;724
745;725
745;726
746;727
745;728
745;729
745;730
745;731
745;732
745;733
745;734
745;735
745;736
745;737
745;738
745;739
745;740
746;741
746;742
746;743
745;744
746;745
746;746
745;747
746;748
746;749
746;750
746;751
746;752
745;753
746;754
746;755
745;756
746;757
746;758
745;759
746;760
745;761
746;762
745;763
746;764
745;765
745;766
745;767
746;768
746;769
745;770
746;771
745;772
745;773
745;774
746;775
746;776
746;777
745;778
746;779
746;780
746;781
745;782
746;783
746;784
746;785
746;786
746;787
746;788
746;789
746;790
746;791
746;792
746;793
746;794
746;795
746;796
746;797
746;798
746;799
746;800
746;801
746;802
746;803
746;804
746;805
746;806
746;807
746;808
746;809
746;810
746;811
746;812
746;813
746;814
746;815
746;816
746;817
746;818
746;819
746;820
746;821
746;822
746;823
746;824
746;825
746;826
746;827
746;828
746;829
746;830
746;831
746;832
746;833
746;834
746;835
746;836
746;837
746;838
746;839
746;840
746;841
746;842
746;843
746;844
746;845
746;846
746;847
746;848
746;849
746;850
746;851
746;852
746;853
746;854
746;855
746;856
746;857
746;858
746;859
746;860
746;861
746;862
746;863
746;864
746;865
746;866
746;867
746;868
746;869
746;870
746;871
746;872
746;873
746;874
746;875
746;876
746;877
746;878
746;879
746;880
746;881
746;882
746;883
746;884
746;885
746;886
746;887
746;888
746;889
746;890
746;891
746;892
745;893
746;894
746;895
745;896
746;897
746;898
746;899
746;900
746;901
745;902
746;903
746;904
746;905
746;906
746;907
745;908
746;909
746;910
746;911
746;912
745;913
746;914
746;915
746;916
746;917
745;918
746;919
745;920
746;921
745;922
746;923
746;924
745;925
746;926
746;927
745;928
745;929
745;930
746;931
746;932
746;933
746;934
746;935
745;936
745;937
746;938
745;939
745;940
745;941
746;942
746;943
746;944
746;945
745;946
746;947
746;948
745;949
745;950
746;951
745;952
745;953
745;954
745;955
745;956
745;957
745;958
746;959
746;960
745;961
746;962
745;963
746;964
746;965
745;966
746;967
746;968
746;969
746;970
746;971
745;972
746;973
745;974
746;975
746;976
746;977
745;978
745;979
745;980
745;981
745;982
745;983
745;984
745;985
745;986
745;987
745;988
745;989
745;990
745;991
745;992
745;993
745;994
745;995
745;996
745;997
745;998
745;999
745;1000
745;1001
745;1002
745;1003
745;1004
745;1005
745;1006
745;1007
745;1008
745;1009
745;1010
745;1011
745;1012
745;1013
745;1014
745;1015
745;1016
745;1017
745;1018
745;1019
745;1020
745;1021
745;1022
745;1023
746;1024
746;1025
745;1026
746;1027
746;1028
746;1029
746;1030
746;1031
746;1032
746;1033
746;1034
746;1035
746;1036
746;1037
746;1038
745;1039
746;1040
746;1041
746;1042
746;1043
746;1044
746;1045
746;1046
746;1047
746;1048
746;1049
746;1050
746;1051
746;1052
745;1053
746;1054
746;1055
746;1056
746;1057
746;1058
745;1059
746;1060
745;1061
746;1062
746;1063
746;1064
746;1065
746;1066
746;1067
746;1068
746;1069
746;1070
746;1071
746;1072
746;1073
746;1074
746;1075
746;1076
746;1077
746;1078
746;1079
746;1080
746;1081
746;1082
746;1083
746;1084
746;1085
746;1086
746;1087
746;1088
746;1089
746;1090
746;1091
746;1092
746;1093
746;1094
746;1095
746;1096
746;1097
746;1098
746;1099
746;1100
746;1101
746;1102
746;1103
746;1104
746;1105
746;1106
746;1107
746;1108
746;1109
746;1110
746;1111
746;1112
746;1113
746;1114
746;1115
746;1116
746;1117
746;1118
746;1119
746;1120
746;1121
746;1122
746;1123
746;1124
746;1125
746;1126
746;1127
746;1128
746;1129
746;1130
746;1131
746;1132
746;1133
746;1134
746;1135
746;1136
746;1137
746;1138
746;1139
746;1140
746;1141
746;1142
746;1143
746;1144
746;1145
746;1146
746;1147
746;1148
746;1149
746;1150
746;1151
746;1152
746;1153
746;1154
746;1155
746;1156
746;1157
746;1158
746;1159
746;1160
746;1161
746;1162
746;1163
746;1164
746;1165
746;1166
746;1167
746;1168
746;1169
746;1170
746;1171
746;1172
746;1173
746;1174
746;1175
746;1176
746;1177
746;1178
746;1179
746;1180
746;1181
746;1182
746;1183
746;1184
746;1185
746;1186
746;1187
746;1188
746;1189
746;1190
746;1191
746;1192
746;1193
746;1194
746;1195
746;1196
746;1197
746;1198
746;1199
746;1200
746;1201
746;1202
746;1203
746;1204
746;1205
746;1206
746;1207
746;1208
746;1209
746;1210
746;1211
746;1212
746;1213
746;1214
746;1215
746;1216
746;1217
746;1218
746;1219
746;1220
746;1221
746;1222
746;1223
746;1224
746;1225
746;1226
746;1227
746;1228
746;1229
746;1230
746;1231
746;1232
746;1233
746;1234
746;1235
746;1236
746;1237
746;1238
746;1239
746;1240
746;1241
746;1242
746;1243
746;1244
746;1245
746;1246
746;1247
746;1248
746;1249
746;1250
746;1251
746;1252
746;1253
746;1254
746;1255
746;1256
746;1257
746;1258
746;1259
746;1260
746;1261
746;1262
746;1263
746;1264
746;1265
746;1266
746;1267
746;1268
746;1269
746;1270
746;1271
746;1272
746;1273
746;1274
746;1275
746;1276
746;1277
746;1278
746;1279
746;1280
746;1281
746;1282
746;1283
746;1284
746;1285
746;1286
745;1287
746;1288
746;1289
746;1290
746;1291
746;1292
746;1293
746;1294
746;1295
746;1296
746;1297
746;1298
746;1299
746;1300
746;1301
746;1302
746;1303
746;1304
746;1305
746;1306
746;1307
746;1308
746;1309
746;1310
746;1311
746;1312
746;1313
746;1314
746;1315
746;1316
746;1317
746;1318
746;1319
746;1320
746;1321
746;1322
746;1323
746;1324
746;1325
746;1326
746;1327
746;1328
746;1329
746;1330
746;1331
746;1332
746;1333
746;1334
746;1335
746;1336
746;1337
746;1338
746;1339
746;1340
746;1341
746;1342
746;1343
746;1344
746;1345
746;1346
746;1347
746;1348
746;1349
746;1350
746;1351
746;1352
746;1353
746;1354
746;1355
746;1356
746;1357
746;1358
746;1359
746;1360
746;1361
746;1362
746;1363
746;1364
747;1365
747;1366
746;1367
747;1368
747;1369
747;1370
746;1371
747;1372
747;1373
747;1374
746;1375
747;1376
746;1377
746;1378
746;1379
746;1380
747;1381
747;1382
746;1383
746;1384
746;1385
746;1386
746;1387
746;1388
746;1389
747;1390
746;1391
746;1392
747;1393
746;1394
746;1395
746;1396
746;1397
747;1398
747;1399
747;1400
747;1401
747;1402
747;1403
746;1404
747;1405
746;1406
746;1407
747;1408
747;1409
747;1410
746;1411
747;1412
747;1413
746;1414
747;1415
747;1416
747;1417
747;1418
747;1419
747;1420
747;1421
747;1422
747;1423
747;1424
747;1425
747;1426
747;1427
747;1428
747;1429
747;1430
747;1431
747;1432
747;1433
747;1434
747;1435
747;1436
747;1437
747;1438
747;1439
747;1440
747;1441
747;1442
747;1443
747;1444
747;1445
747;1446
747;1447
747;1448
747;1449
747;1450
747;1451
747;1452
747;1453
747;1454
747;1455
747;1456
747;1457
747;1458
747;1459
747;1460
747;1461
747;1462
747;1463
747;1464
747;1465
747;1466
747;1467
747;1468
747;1469
747;1470
747;1471
747;1472
747;1473
747;1474
747;1475
747;1476
747;1477
747;1478
747;1479
747;1480
747;1481
747;1482
747;1483
747;1484
747;1485
747;1486
747;1487
747;1488
747;1489
747;1490
747;1491
747;1492
747;1493
747;1494
747;1495
747;1496
747;1497
747;1498
747;1499
747;1500
747;1501
747;1502
747;1503
747;1504
747;1505
747;1506
747;1507
747;1508
747;1509
747;1510
747;1511
747;1512
747;1513
747;1514
747;1515
747;1516
747;1517
747;1518
747;1519
747;1520
747;1521
747;1522
747;1523
747;1524
747;1525
747;1526
747;1527
747;1528
747;1529
747;1530
747;1531
747;1532
747;1533
747;1534
747;1535
747;1536
747;1537
747;1538
747;1539
747;1540
747;1541
747;1542
747;1543
747;1544
747;1545
747;1546
747;1547
747;1548
747;1549
747;1550
747;1551
747;1552
747;1553
747;1554
747;1555
747;1556
748;1557
747;1558
747;1559
748;1560
747;1561
747;1562
747;1563
747;1564
747;1565
747;1566
747;1567
747;1568
747;1569
747;1570
747;1571
747;1572
748;1573
748;1574
747;1575
747;1576
748;1577
747;1578
748;1579
747;1580
747;1581
748;1582
747;1583
748;1584
747;1585
748;1586
747;1587
748;1588
748;1589
747;1590
747;1591
748;1592
748;1593
748;1594
748;1595
748;1596
748;1597
748;1598
748;1599
748;1600
748;1601
748;1602
748;1603
748;1604
748;1605
748;1606
748;1607
748;1608
748;1609
748;1610
748;1611
748;1612
748;1613
748;1614
748;1615
748;1616
748;1617
748;1618
748;1619
748;1620
748;1621
748;1622
748;1623
748;1624
748;1625
748;1626
748;1627
748;1628
748;1629
748;1630
748;1631
748;1632
748;1633
748;1634
748;1635
