emg;t
748;0
747;1
748;2
748;3
748;4
748;5
748;6
748;7
748;8
747;9
748;10
748;11
748;12
747;13
748;14
748;15
747;16
748;17
748;18
747;19
748;20
747;21
747;22
747;23
747;24
747;25
747;26
747;27
747;28
747;29
747;30
747;31
748;32
747;33
747;34
748;35
748;36
747;37
747;38
748;39
747;40
747;41
747;42
747;43
748;44
748;45
748;46
747;47
747;48
747;49
747;50
747;51
747;52
747;53
747;54
747;55
747;56
747;57
747;58
747;59
747;60
747;61
747;62
747;63
747;64
747;65
747;66
747;67
747;68
747;69
747;70
747;71
747;72
747;73
747;74
747;75
747;76
747;77
747;78
747;79
747;80
747;81
747;82
747;83
747;84
747;85
747;86
747;87
747;88
747;89
747;90
747;91
747;92
747;93
747;94
747;95
747;96
747;97
748;98
747;99
747;100
747;101
747;102
747;103
747;104
748;105
747;106
747;107
747;108
747;109
747;110
747;111
747;112
747;113
747;114
747;115
747;116
747;117
747;118
747;119
747;120
747;121
747;122
747;123
747;124
747;125
747;126
747;127
747;128
747;129
747;130
747;131
747;132
747;133
747;134
747;135
747;136
747;137
747;138
747;139
747;140
747;141
747;142
748;143
747;144
747;145
747;146
747;147
747;148
747;149
747;150
748;151
747;152
748;153
747;154
747;155
747;156
747;157
747;158
747;159
748;160
747;161
747;162
748;163
748;164
747;165
747;166
747;167
747;168
747;169
747;170
747;171
747;172
748;173
747;174
747;175
747;176
747;177
747;178
747;179
747;180
747;181
747;182
747;183
747;184
747;185
747;186
747;187
747;188
747;189
747;190
747;191
747;192
747;193
747;194
747;195
747;196
747;197
747;198
747;199
748;200
747;201
747;202
748;203
748;204
747;205
747;206
747;207
748;208
747;209
748;210
748;211
748;212
748;213
747;214
748;215
748;216
747;217
748;218
747;219
748;220
748;221
747;222
748;223
748;224
748;225
747;226
748;227
748;228
747;229
747;230
747;231
747;232
747;233
747;234
747;235
747;236
747;237
747;238
747;239
747;240
747;241
747;242
747;243
748;244
748;245
747;246
747;247
747;248
748;249
747;250
747;251
747;252
748;253
748;254
747;255
748;256
747;257
747;258
748;259
748;260
748;261
748;262
748;263
748;264
748;265
748;266
748;267
748;268
748;269
747;270
747;271
748;272
747;273
748;274
748;275
748;276
748;277
748;278
748;279
748;280
748;281
748;282
748;283
748;284
748;285
747;286
747;287
748;288
748;289
748;290
747;291
748;292
748;293
747;294
747;295
747;296
748;297
748;298
747;299
748;300
748;301
747;302
747;303
747;304
747;305
747;306
747;307
748;308
747;309
748;310
747;311
747;312
747;313
747;314
748;315
748;316
747;317
748;318
748;319
748;320
747;321
748;322
747;323
747;324
748;325
748;326
748;327
748;328
748;329
748;330
748;331
748;332
747;333
747;334
747;335
748;336
748;337
747;338
747;339
748;340
747;341
747;342
747;343
747;344
747;345
747;346
747;347
747;348
747;349
747;350
747;351
747;352
747;353
747;354
747;355
747;356
747;357
747;358
747;359
747;360
747;361
747;362
747;363
747;364
747;365
747;366
747;367
747;368
747;369
747;370
747;371
747;372
747;373
747;374
747;375
747;376
747;377
747;378
747;379
748;380
747;381
747;382
747;383
747;384
747;385
747;386
747;387
747;388
747;389
747;390
747;391
747;392
747;393
747;394
747;395
747;396
747;397
747;398
747;399
747;400
747;401
747;402
747;403
747;404
747;405
747;406
747;407
747;408
747;409
747;410
747;411
747;412
747;413
747;414
747;415
747;416
747;417
747;418
747;419
747;420
747;421
747;422
747;423
747;424
747;425
747;426
747;427
747;428
747;429
747;430
747;431
747;432
747;433
747;434
747;435
747;436
747;437
747;438
747;439
747;440
747;441
747;442
746;443
747;444
747;445
747;446
747;447
747;448
747;449
747;450
747;451
746;452
746;453
746;454
746;455
746;456
746;457
746;458
746;459
746;460
746;461
746;462
746;463
746;464
746;465
746;466
746;467
746;468
746;469
746;470
746;471
746;472
746;473
746;474
746;475
746;476
746;477
746;478
746;479
746;480
746;481
746;482
746;483
746;484
746;485
746;486
746;487
746;488
746;489
746;490
746;491
746;492
746;493
746;494
746;495
746;496
746;497
746;498
746;499
746;500
746;501
746;502
746;503
746;504
746;505
746;506
746;507
746;508
746;509
746;510
746;511
746;512
746;513
746;514
746;515
746;516
746;517
746;518
746;519
746;520
746;521
746;522
746;523
746;524
746;525
746;526
746;527
746;528
746;529
746;530
746;531
746;532
746;533
746;534
746;535
746;536
746;537
746;538
746;539
746;540
746;541
746;542
746;543
746;544
746;545
746;546
746;547
746;548
746;549
746;550
746;551
746;552
746;553
746;554
746;555
746;556
746;557
746;558
746;559
746;560
747;561
746;562
746;563
746;564
746;565
746;566
746;567
746;568
746;569
746;570
746;571
746;572
746;573
746;574
746;575
746;576
746;577
746;578
746;579
746;580
746;581
747;582
746;583
746;584
746;585
746;586
746;587
746;588
746;589
746;590
746;591
746;592
746;593
746;594
746;595
746;596
746;597
747;598
747;599
746;600
747;601
747;602
747;603
746;604
747;605
747;606
746;607
747;608
747;609
747;610
747;611
747;612
747;613
747;614
746;615
746;616
747;617
747;618
747;619
746;620
747;621
747;622
747;623
746;624
747;625
747;626
746;627
747;628
746;629
746;630
746;631
747;632
746;633
746;634
746;635
746;636
746;637
746;638
746;639
746;640
746;641
746;642
746;643
746;644
746;645
746;646
746;647
746;648
747;649
747;650
746;651
746;652
746;653
747;654
747;655
747;656
747;657
747;658
746;659
747;660
746;661
747;662
747;663
747;664
746;665
747;666
747;667
747;668
747;669
747;670
747;671
747;672
747;673
747;674
747;675
747;676
747;677
746;678
747;679
746;680
746;681
746;682
747;683
746;684
747;685
746;686
747;687
746;688
746;689
746;690
747;691
746;692
746;693
747;694
747;695
747;696
747;697
746;698
746;699
746;700
746;701
746;702
747;703
746;704
746;705
747;706
747;707
747;708
746;709
747;710
747;711
746;712
747;713
747;714
747;715
747;716
747;717
746;718
747;719
747;720
747;721
747;722
747;723
747;724
747;725
747;726
747;727
747;728
747;729
747;730
747;731
747;732
747;733
747;734
747;735
746;736
747;737
747;738
746;739
747;740
746;741
746;742
747;743
747;744
746;745
747;746
747;747
746;748
746;749
746;750
747;751
746;752
747;753
746;754
747;755
747;756
746;757
746;758
746;759
746;760
747;761
747;762
747;763
747;764
747;765
747;766
747;767
747;768
747;769
747;770
747;771
747;772
747;773
747;774
