index;adc
0;748
1;748
2;749
3;748
4;749
5;749
6;749
7;749
8;749
9;748
10;749
11;749
12;749
13;749
14;749
15;749
16;749
17;749
18;749
19;749
20;749
21;749
22;749
23;749
24;749
25;749
26;749
27;749
28;749
29;749
30;749
31;749
32;749
33;749
34;749
35;749
36;749
37;749
38;749
39;749
40;749
41;749
42;749
43;749
44;749
45;749
46;749
47;749
48;749
49;749
50;749
51;749
52;749
53;749
54;749
55;749
56;749
57;749
58;749
59;749
60;749
61;749
62;749
63;749
64;749
65;749
66;749
67;749
68;749
69;749
70;749
71;749
72;749
73;749
74;749
75;749
76;749
77;749
78;749
79;749
80;749
81;749
82;749
83;749
84;749
85;749
86;749
87;749
88;749
89;749
90;749
91;749
92;749
93;749
94;749
95;749
96;749
97;749
98;749
99;749
100;749
101;749
102;749
103;749
104;749
105;749
106;749
107;749
108;749
109;749
110;749
111;749
112;749
113;749
114;749
115;749
116;749
117;749
118;749
119;749
120;749
121;749
122;749
123;749
124;749
125;749
126;749
127;749
128;749
129;749
130;749
131;749
132;749
133;749
134;749
135;749
136;749
137;749
138;749
139;749
140;749
141;749
142;749
143;749
144;749
145;749
146;749
147;749
148;749
149;749
150;749
151;749
152;749
153;749
154;749
155;749
156;749
157;749
158;749
159;749
160;749
161;748
162;748
163;749
164;748
165;749
166;749
167;749
168;749
169;748
170;749
171;749
172;748
173;748
174;748
175;749
176;749
177;749
178;748
179;748
180;748
181;749
182;749
183;749
184;749
185;749
186;749
187;749
188;748
189;749
190;749
191;748
192;748
193;748
194;748
195;748
196;748
197;748
198;748
199;748
200;748
201;748
202;748
203;748
204;748
205;748
206;748
207;748
208;748
209;748
210;748
211;748
212;748
213;748
214;748
215;748
216;748
217;748
218;748
219;748
220;748
221;748
222;748
223;748
224;748
225;748
226;748
227;748
228;748
229;748
230;748
231;748
232;748
233;748
234;748
235;748
236;748
237;748
238;748
239;748
240;748
241;748
242;748
243;748
244;748
245;748
246;747
247;748
248;747
249;748
250;748
251;748
252;748
253;747
254;747
255;748
256;748
257;747
258;747
259;747
260;747
261;747
262;747
263;747
264;747
265;747
266;747
267;747
268;747
269;747
270;747
271;747
272;747
273;747
274;747
275;747
276;747
277;747
278;747
279;747
280;747
281;747
282;747
283;747
284;747
285;747
286;747
287;747
288;747
289;747
290;747
291;747
292;747
293;747
294;747
295;747
296;747
297;747
298;747
299;747
300;747
301;747
302;747
303;747
304;747
305;747
306;747
307;746
308;747
309;746
310;746
311;747
312;747
313;746
314;746
315;746
316;746
317;746
318;746
319;746
320;746
321;746
322;746
323;746
324;746
325;746
326;746
327;746
328;746
329;746
330;746
331;746
332;746
333;746
334;746
335;746
336;746
337;746
338;746
339;746
340;746
341;746
342;746
343;746
344;746
345;746
346;746
347;746
348;746
349;746
350;746
351;746
352;746
353;746
354;746
355;746
356;746
357;746
358;746
359;746
360;746
361;746
362;746
363;746
364;746
365;746
366;746
367;746
368;746
369;746
370;746
371;746
372;746
373;746
374;746
375;746
376;746
377;746
378;746
379;746
380;746
381;746
382;746
383;746
384;746
385;746
386;746
387;746
388;746
389;746
390;746
391;746
392;745
393;746
394;746
395;746
396;746
397;746
398;746
399;746
400;746
401;746
402;746
403;746
404;746
405;746
406;746
407;746
408;746
409;746
410;746
411;746
412;746
413;746
414;746
415;746
416;746
417;746
418;746
419;746
420;746
421;746
422;746
423;746
424;746
425;746
426;746
427;746
428;746
429;746
430;746
431;746
432;746
433;746
434;745
435;745
436;745
437;746
438;746
439;745
440;745
441;745
442;745
443;745
444;745
445;745
446;745
447;745
448;745
449;745
450;746
451;745
452;746
453;746
454;745
455;745
456;745
457;745
458;746
459;745
460;746
461;746
462;745
463;746
464;746
465;746
466;745
467;746
468;746
469;745
470;746
471;746
472;745
473;746
474;746
475;746
476;746
477;746
478;746
479;745
480;746
481;746
482;746
483;745
484;745
485;745
486;745
487;745
488;745
489;746
490;745
491;745
492;746
493;746
494;746
495;745
496;746
497;745
498;745
499;746
500;746
501;745
502;746
503;746
504;746
505;746
506;745
507;746
508;746
509;745
510;746
511;746
512;746
513;746
514;746
515;746
516;746
517;746
518;746
519;746
520;746
521;746
522;746
523;746
524;746
525;746
526;746
527;746
528;746
529;746
530;746
531;746
532;746
533;746
534;746
535;746
536;746
537;746
538;746
539;746
540;746
541;746
542;746
543;746
544;746
545;746
546;746
547;746
548;746
549;746
550;746
551;746
552;746
553;746
554;746
555;746
556;746
557;746
558;746
559;746
560;746
561;746
562;746
563;746
564;746
565;746
566;746
567;746
568;746
569;746
570;746
571;746
572;746
573;746
574;746
575;746
576;746
577;746
578;746
579;746
580;746
581;746
582;746
583;746
584;746
585;746
586;746
587;746
588;746
589;746
590;746
591;746
592;746
593;746
594;746
595;746
596;746
597;746
598;746
599;746
600;746
601;746
602;746
603;746
604;746
605;746
606;746
607;746
608;746
609;746
610;746
611;746
612;746
613;746
614;746
615;746
616;746
617;746
618;746
619;746
620;746
621;746
622;746
623;746
624;746
625;746
626;746
627;746
628;746
629;746
630;746
631;746
632;746
633;746
634;746
635;746
636;746
637;746
638;746
639;746
640;746
641;746
642;746
643;746
644;746
645;746
646;746
647;746
648;746
649;746
650;746
651;746
652;746
653;746
654;746
655;746
656;746
657;746
658;746
659;746
660;746
661;746
662;746
663;746
664;746
665;746
666;746
667;746
668;746
669;746
670;746
671;746
672;746
673;746
674;746
675;746
676;746
677;746
678;746
679;746
680;746
681;746
682;746
683;746
684;746
685;746
686;746
687;746
688;746
689;746
690;746
691;746
692;746
693;746
694;746
695;746
696;746
697;746
698;746
699;746
700;746
701;746
702;746
703;745
704;745
705;745
706;746
707;745
708;745
709;745
710;745
711;746
712;745
713;745
714;746
715;746
