index;adc
0;747
1;746
2;746
3;746
4;746
5;746
6;747
7;746
8;746
9;747
10;747
11;746
12;747
13;747
14;747
15;746
16;747
17;746
18;746
19;746
20;746
21;746
22;747
23;746
24;746
25;747
26;746
27;746
28;746
29;746
30;746
31;746
32;746
33;746
34;746
35;746
36;746
37;746
38;746
39;746
40;746
41;746
42;746
43;746
44;746
45;746
46;746
47;746
48;746
49;746
50;746
51;746
52;746
53;746
54;746
55;746
56;746
57;746
58;746
59;746
60;746
61;746
62;746
63;746
64;746
65;746
66;746
67;746
68;746
69;746
70;747
71;746
72;747
73;747
74;746
75;746
76;747
77;747
78;746
79;747
80;746
81;746
82;747
83;746
84;747
85;746
86;747
87;747
88;746
89;746
90;747
91;746
92;746
93;747
94;746
95;746
96;746
97;746
98;746
99;746
100;747
101;746
102;747
103;747
104;746
105;746
106;746
107;746
108;746
109;746
110;746
111;746
112;747
113;747
114;746
115;747
116;747
117;746
118;747
119;747
120;746
121;747
122;747
123;747
124;747
125;747
126;747
127;747
128;747
129;747
130;747
131;747
132;746
133;746
134;747
135;747
136;746
137;746
138;747
139;747
140;746
141;746
142;746
143;747
144;747
145;746
146;746
147;746
148;746
149;746
150;746
151;746
152;746
153;746
154;746
155;746
156;746
157;746
158;747
159;746
160;746
161;746
162;746
163;747
164;747
165;746
166;746
167;746
168;746
169;746
170;747
171;747
172;746
173;746
174;746
175;746
176;746
177;747
178;747
179;746
180;747
181;747
182;747
183;747
184;747
185;746
186;747
187;747
188;747
189;747
190;747
191;746
192;746
193;746
194;747
195;747
196;747
197;747
198;746
199;746
200;746
201;747
202;747
203;747
204;746
205;746
206;746
207;747
208;747
209;747
210;747
211;747
212;747
213;746
214;747
215;747
216;747
217;747
218;747
219;747
220;747
221;747
222;747
223;747
224;747
225;747
226;747
227;747
228;747
229;747
230;747
231;747
232;747
233;747
234;747
235;747
236;747
237;747
238;747
239;747
240;747
241;747
242;747
243;747
244;747
245;747
246;747
247;747
248;747
249;747
250;747
251;747
252;747
253;747
254;747
255;747
256;747
257;747
258;747
259;747
260;747
261;747
262;747
263;747
264;747
265;747
266;747
267;747
268;747
269;747
270;747
271;747
272;747
273;747
274;747
275;747
276;747
277;747
278;747
279;747
280;747
281;747
282;747
283;747
284;747
285;747
286;747
287;747
288;747
289;747
290;747
291;747
292;747
293;747
294;747
295;747
296;747
297;747
298;747
299;747
300;747
301;747
302;747
303;747
304;747
305;747
306;747
307;747
308;747
309;747
310;747
311;747
312;747
313;747
314;747
315;747
316;747
317;747
318;747
319;747
320;747
321;747
322;747
323;747
324;747
325;747
326;747
327;747
328;747
329;747
330;747
331;747
332;747
333;747
334;747
335;747
336;747
337;747
338;747
339;747
340;747
341;748
342;747
343;747
344;747
345;748
346;748
347;747
348;747
349;747
350;748
351;748
352;747
353;748
354;747
355;747
356;747
357;747
358;747
359;747
360;748
361;747
362;747
363;747
364;748
365;747
366;747
367;747
368;747
369;747
370;747
371;747
372;747
373;747
374;747
375;747
376;747
377;747
378;747
379;747
380;747
381;747
382;747
383;747
384;747
385;747
386;747
387;747
388;747
389;747
390;747
391;747
392;747
393;747
394;747
395;747
396;747
397;747
398;747
399;747
400;747
401;747
402;747
403;747
404;747
405;747
406;747
407;747
408;747
409;747
410;747
411;747
412;747
413;747
414;747
415;747
416;747
417;747
418;747
419;747
420;748
421;747
422;747
423;747
424;747
425;747
426;747
427;747
428;747
429;747
430;747
431;747
432;747
433;747
434;747
435;747
436;747
437;747
438;747
439;747
440;747
441;747
442;747
443;747
444;747
445;747
446;747
447;747
448;747
449;747
450;747
451;747
452;747
453;747
454;747
455;747
456;747
457;748
458;747
459;747
460;747
461;747
462;747
463;748
464;747
465;747
466;747
467;747
468;748
469;747
470;748
471;748
472;747
473;747
474;748
475;747
476;747
477;748
478;748
479;748
480;748
481;747
482;748
483;748
484;747
485;747
486;747
487;747
488;747
489;747
490;747
491;748
492;747
493;747
494;747
495;747
496;747
497;747
498;747
499;748
500;747
501;747
502;747
503;747
504;748
505;747
506;747
507;748
508;748
509;748
510;748
511;748
512;748
513;748
514;748
515;747
516;748
517;748
518;748
519;748
520;748
521;748
522;748
523;748
524;748
525;748
526;748
527;748
528;748
529;748
530;748
531;748
532;748
533;748
534;748
535;748
536;748
537;748
