index;adc
0;745
1;745
2;745
3;745
4;745
5;746
6;746
7;745
8;745
9;745
10;745
11;745
12;745
13;745
14;745
15;745
16;745
17;745
18;745
19;745
20;745
21;745
22;745
23;745
24;745
25;745
26;745
27;745
28;745
29;745
30;745
31;745
32;745
33;745
34;745
35;745
36;745
37;745
38;746
39;746
40;746
41;746
42;746
43;746
44;745
45;746
46;746
47;746
48;746
49;746
50;746
51;745
52;746
53;746
54;746
55;746
56;746
57;745
58;746
59;745
60;745
61;745
62;746
63;745
64;745
65;745
66;745
67;745
68;745
69;745
70;745
71;746
72;745
73;745
74;746
75;745
76;746
77;745
78;745
79;745
80;745
81;745
82;745
83;745
84;746
85;745
86;745
87;745
88;745
89;745
90;745
91;746
92;746
93;746
94;746
95;746
96;745
97;746
98;746
99;746
100;746
101;746
102;746
103;746
104;746
105;746
106;746
107;746
108;746
109;745
110;746
111;746
112;745
113;746
114;745
115;746
116;746
117;745
118;746
119;745
120;745
121;745
122;745
123;745
124;746
125;745
126;745
127;745
128;745
129;745
130;745
131;745
132;745
133;745
134;745
135;745
136;745
137;745
138;745
139;745
140;745
141;745
142;745
143;745
144;745
145;745
146;745
147;745
148;745
149;745
150;745
151;746
152;746
153;746
154;746
155;746
156;745
157;745
158;746
159;745
160;745
161;746
162;746
163;746
164;746
165;746
166;746
167;745
168;746
169;746
170;746
171;746
172;746
173;745
174;745
175;746
176;745
177;745
178;746
179;746
180;745
181;746
182;746
183;746
184;745
185;745
186;746
187;746
188;746
189;745
190;746
191;746
192;746
193;746
194;746
195;746
196;746
197;746
198;746
199;745
200;746
201;746
202;746
203;746
204;746
205;746
206;746
207;746
208;746
209;746
210;746
211;746
212;746
213;746
214;746
215;746
216;746
217;746
218;746
219;746
220;746
221;746
222;746
223;746
224;746
225;746
226;746
227;746
228;746
229;746
230;746
231;746
232;746
233;746
234;746
235;746
236;746
237;746
238;746
239;746
240;746
241;746
242;746
243;746
244;746
245;746
246;746
247;746
248;746
249;746
250;746
251;746
252;746
253;746
254;746
255;746
256;746
257;746
258;746
259;746
260;746
261;746
262;746
263;746
264;746
265;746
266;746
267;746
268;746
269;746
270;746
271;746
272;747
273;746
274;746
275;746
276;746
277;746
278;746
279;746
280;746
281;747
282;747
283;746
284;746
285;747
286;746
287;746
288;746
289;746
290;746
291;746
292;746
293;746
294;746
295;746
296;746
297;746
298;746
299;746
300;746
301;746
302;746
303;746
304;746
305;746
306;746
307;746
308;746
309;746
310;746
311;746
312;746
313;746
314;746
315;746
316;746
317;746
318;746
319;746
320;747
321;747
322;747
323;747
324;747
325;747
326;747
327;747
328;747
329;747
330;747
331;747
332;747
333;747
334;747
335;747
336;746
337;747
338;747
339;747
340;747
341;747
342;746
343;746
344;747
345;747
346;746
347;747
348;747
349;747
350;747
351;747
352;747
353;747
354;747
355;747
356;747
357;746
358;747
359;747
360;747
361;747
362;747
363;747
364;747
365;747
366;747
367;747
368;747
369;747
370;747
371;747
372;747
373;747
374;747
375;747
376;747
377;747
378;747
379;747
380;747
381;747
382;747
383;747
384;747
385;747
386;747
387;747
388;747
389;747
390;747
391;747
392;747
393;747
394;747
395;747
396;747
397;747
398;747
399;747
400;747
401;747
402;747
403;747
404;747
405;747
406;747
407;747
408;747
409;747
410;747
411;747
412;747
413;747
414;747
415;747
416;747
417;747
418;747
419;747
420;747
421;747
422;747
423;747
424;747
425;747
426;747
427;747
428;747
429;747
430;747
431;747
432;747
433;748
434;747
435;748
436;747
437;747
438;748
439;747
440;747
441;747
442;748
443;748
444;748
445;748
446;747
447;748
448;748
449;747
450;748
451;747
452;747
453;747
454;747
455;748
456;747
457;747
458;747
459;747
460;747
461;747
462;747
463;747
464;747
465;747
466;747
467;747
468;747
469;747
470;747
