index;adc
0;746
1;746
2;746
3;746
4;746
5;746
6;746
7;746
8;746
9;746
10;746
11;746
12;746
13;746
14;746
15;746
16;746
17;746
18;746
19;746
20;746
21;746
22;746
23;746
24;747
25;746
26;746
27;746
28;746
29;746
30;746
31;746
32;746
33;746
34;746
35;746
36;746
37;746
38;745
39;746
40;746
41;746
42;746
43;746
44;746
45;746
46;746
47;746
48;746
49;746
50;746
51;746
52;746
53;746
54;746
55;746
56;746
57;746
58;746
59;746
60;746
61;746
62;746
63;746
64;746
65;746
66;746
67;746
68;746
69;746
70;746
71;746
72;746
73;746
74;747
75;746
76;746
77;746
78;747
79;746
80;746
81;746
82;746
83;746
84;746
85;746
86;746
87;746
88;746
89;746
90;746
91;746
92;746
93;746
94;746
95;746
96;746
97;746
98;746
99;746
100;746
101;746
102;746
103;746
104;746
105;746
106;746
107;746
108;746
109;746
110;746
111;746
112;746
113;746
114;746
115;746
116;746
117;746
118;746
119;746
120;746
121;746
122;746
123;746
124;746
125;746
126;746
127;746
128;746
129;746
130;746
131;746
132;746
133;746
134;746
135;746
136;746
137;746
138;746
139;746
140;746
141;746
142;746
143;746
144;746
145;746
146;746
147;746
148;745
149;746
150;746
151;746
152;746
153;745
154;746
155;746
156;746
157;745
158;745
159;745
160;746
161;746
162;746
163;746
164;745
165;746
166;746
167;745
168;745
169;745
170;746
171;746
172;746
173;746
174;746
175;746
176;746
177;746
178;746
179;746
180;746
181;746
182;746
183;746
184;746
185;746
186;746
187;746
188;746
189;746
190;746
191;746
192;746
193;746
194;746
195;746
196;746
197;746
198;746
199;746
200;746
201;746
202;746
203;745
204;745
205;746
206;746
207;746
208;745
209;746
210;745
211;745
212;745
213;745
214;745
215;745
216;746
217;745
218;745
219;745
220;746
221;745
222;746
223;745
224;746
225;746
226;746
227;746
228;746
229;746
230;746
231;746
232;746
233;746
234;746
235;746
236;746
237;746
238;746
239;746
240;746
241;746
242;746
243;746
244;746
245;746
246;746
247;746
248;746
249;746
250;746
251;746
252;746
253;746
254;745
255;746
256;745
257;745
258;746
259;745
260;745
261;745
262;746
263;745
264;746
265;746
266;745
267;745
268;745
269;746
270;746
271;745
272;745
273;746
274;745
275;746
276;746
277;745
278;746
279;745
280;745
281;745
282;746
283;746
284;746
285;746
286;746
287;746
288;746
289;746
290;746
291;746
292;746
293;746
294;746
295;746
296;746
297;746
298;746
299;746
300;746
301;746
302;746
303;746
304;746
305;746
306;746
307;746
308;746
309;746
310;745
311;745
312;746
313;745
314;745
315;745
316;745
317;745
318;746
319;745
320;745
321;745
322;745
323;745
324;745
325;745
326;745
327;745
328;745
329;745
330;745
331;745
332;745
333;745
334;745
335;745
336;745
337;746
338;745
339;745
340;746
341;746
342;746
343;746
344;746
345;746
346;745
347;746
348;745
349;746
350;746
351;746
352;746
353;745
354;746
355;746
356;746
357;746
358;746
359;746
360;746
361;746
362;746
363;745
364;746
365;746
366;745
367;746
368;746
369;745
370;745
371;745
372;745
373;745
374;745
375;745
376;745
377;745
378;745
379;745
380;745
381;745
382;745
383;745
384;745
385;745
386;745
387;745
388;745
389;745
390;745
391;745
392;745
393;745
394;745
395;745
396;745
397;745
398;745
399;745
400;746
401;745
402;746
403;746
404;746
405;746
406;746
407;745
408;746
409;746
410;746
411;746
412;746
413;746
414;746
415;746
416;746
417;746
418;746
419;746
420;746
421;746
422;745
423;746
424;746
425;746
426;746
427;745
428;745
429;745
430;745
431;746
432;745
433;746
434;746
435;745
436;745
437;745
438;745
439;745
440;745
441;745
442;745
443;746
444;745
445;745
446;745
447;746
448;746
449;746
450;746
451;746
452;746
453;746
454;746
455;746
456;746
457;746
458;746
459;746
460;746
461;746
462;746
463;746
464;746
465;746
466;746
467;746
468;746
469;746
470;746
471;746
472;746
473;746
474;745
475;745
476;746
477;745
478;745
479;745
480;745
481;745
482;745
483;745
484;746
485;746
486;745
487;746
488;745
489;745
490;745
491;745
492;745
493;745
494;745
495;745
496;745
497;745
498;745
499;746
500;745
501;745
502;745
503;745
504;745
505;745
506;745
507;746
508;745
509;746
510;745
511;746
512;746
513;745
514;746
