index;adc
0;750
1;750
2;750
3;750
4;750
5;750
6;750
7;750
8;750
9;750
10;750
11;750
12;750
13;750
14;750
15;750
16;750
17;750
18;750
19;750
20;750
21;750
22;750
23;750
24;750
25;750
26;750
27;750
28;750
29;750
30;750
31;750
32;750
33;750
34;750
35;750
36;750
37;750
38;750
39;750
40;750
41;750
42;750
43;750
44;750
45;750
46;750
47;750
48;750
49;750
50;750
51;751
52;751
53;751
54;750
55;751
56;751
57;751
58;751
59;751
60;751
61;751
62;751
63;751
64;751
65;751
66;751
67;751
68;751
69;751
70;751
71;751
72;751
73;751
74;751
75;751
76;751
77;751
78;751
79;751
80;751
81;751
82;751
83;751
84;751
85;751
86;751
87;751
88;751
89;751
90;751
91;751
92;751
93;751
94;751
95;751
96;752
97;751
98;751
99;752
100;752
101;752
102;752
103;751
104;752
105;751
106;751
107;751
108;751
109;752
110;752
111;751
112;751
113;752
114;752
115;751
116;752
117;752
118;751
119;752
120;751
121;752
122;751
123;751
124;752
125;752
126;751
127;752
128;752
129;752
130;751
131;751
132;751
133;751
134;752
135;751
136;751
137;752
138;751
139;751
140;751
141;751
142;751
143;751
144;751
145;751
146;751
147;751
148;751
149;751
150;751
151;751
152;751
153;751
154;751
155;751
156;751
157;751
158;751
159;751
160;751
161;751
162;751
163;751
164;751
165;751
166;751
167;751
168;751
169;751
170;751
171;751
172;751
173;751
174;751
175;751
176;751
177;751
178;751
179;751
180;751
181;751
182;750
183;751
184;751
185;750
186;751
187;750
188;750
189;750
190;750
191;750
192;750
193;750
194;750
195;750
196;750
197;750
198;750
199;750
200;750
201;750
202;750
203;750
204;750
205;750
206;750
207;750
208;750
209;750
210;750
211;750
212;750
213;750
214;750
215;750
216;750
217;750
218;749
219;750
220;750
221;749
222;749
223;750
224;750
225;750
226;750
227;750
228;749
229;750
230;749
231;750
232;749
233;750
234;749
235;749
236;749
237;749
238;750
239;749
240;749
241;750
242;750
243;750
244;750
245;749
246;750
247;749
248;749
249;750
250;750
251;749
252;750
253;750
254;750
255;750
256;750
257;750
258;749
259;750
260;750
261;750
262;749
263;750
264;750
265;750
266;750
267;750
268;750
269;750
270;750
271;750
272;750
273;750
274;749
275;750
276;750
277;750
278;750
279;750
280;750
281;750
282;750
283;750
284;750
285;750
286;750
287;750
288;750
289;750
290;750
291;750
292;750
293;750
294;750
295;750
296;750
297;750
298;750
299;750
300;750
301;750
302;750
303;750
304;750
305;750
306;750
307;750
308;750
309;750
310;750
311;750
312;750
313;750
314;750
315;750
316;750
317;751
318;750
319;751
320;750
321;750
322;751
323;750
324;750
325;751
326;751
327;751
328;750
329;751
330;751
331;751
332;751
333;751
334;751
335;751
336;751
337;751
338;751
339;751
340;751
341;751
342;751
343;751
344;751
345;751
346;751
347;751
348;751
349;751
350;751
351;751
352;751
353;751
354;751
355;751
356;751
357;751
358;751
359;751
360;751
361;751
362;752
363;751
364;751
365;751
366;752
367;751
368;751
369;751
370;751
371;752
372;751
373;751
374;751
375;751
376;751
377;751
378;751
379;752
380;752
381;752
382;751
383;752
384;751
385;751
386;752
387;752
388;751
389;751
390;751
391;751
392;751
393;751
394;751
395;752
396;752
397;751
398;751
399;751
400;752
401;752
402;751
403;751
404;751
405;751
406;751
407;751
408;752
409;751
410;752
411;752
412;752
413;751
414;751
415;751
416;751
417;751
418;751
419;751
420;751
421;751
422;751
423;751
424;751
425;751
426;751
427;751
428;751
429;751
430;751
431;751
432;751
433;751
434;751
435;751
436;751
437;751
438;751
439;751
440;751
441;751
442;751
443;750
444;750
445;750
446;751
447;750
448;750
449;750
450;750
451;750
452;750
453;750
454;750
455;750
456;750
457;750
458;750
459;750
460;750
461;750
462;750
463;750
464;750
465;750
466;750
467;750
468;750
469;750
470;750
471;750
472;750
473;750
474;750
475;750
476;749
477;750
478;750
479;750
480;750
481;750
482;749
483;750
484;750
485;750
486;749
487;749
488;749
489;749
490;749
491;749
492;749
493;749
494;749
495;749
496;749
497;749
498;749
499;749
500;750
501;749
502;749
503;750
504;750
505;749
506;749
507;749
508;749
509;750
510;749
511;749
512;749
513;750
514;749
515;749
516;749
517;749
518;749
519;749
520;749
521;749
522;749
523;749
524;749
525;750
526;750
527;750
528;749
529;749
530;750
531;750
532;750
533;750
534;750
535;750
536;750
537;750
538;749
539;750
540;750
541;750
542;750
543;750
544;750
545;750
546;750
547;750
548;750
549;750
550;750
551;750
552;750
553;750
554;750
555;750
556;750
557;750
558;750
559;750
560;750
561;750
562;750
563;750
564;750
565;750
566;750
567;750
568;750
569;750
570;750
571;750
572;750
573;750
574;750
575;750
576;750
577;750
578;750
579;750
580;750
581;750
582;750
583;750
584;750
585;750
586;750
587;750
588;750
589;750
590;750
591;750
592;750
593;750
594;750
595;750
596;750
597;750
598;750
599;750
600;750
601;750
602;750
603;750
604;750
605;750
606;750
607;750
608;750
609;750
610;750
611;750
612;750
613;750
614;750
615;750
616;750
617;750
618;750
619;750
620;750
621;750
622;750
623;750
624;750
625;751
626;750
627;751
628;751
629;751
630;751
631;751
632;751
633;751
634;751
635;751
636;751
637;751
638;751
639;750
640;751
641;751
642;751
643;751
644;751
645;751
646;751
647;751
648;751
649;751
650;751
651;751
652;751
653;751
654;751
655;751
656;751
657;751
658;751
659;751
660;751
661;751
662;751
663;751
664;751
665;751
666;751
667;751
668;751
669;751
670;751
671;751
672;751
673;751
674;751
675;751
676;750
677;750
678;750
679;751
680;751
681;750
682;751
683;750
684;750
685;750
686;750
687;750
688;750
689;750
690;750
691;750
692;750
693;750
694;750
695;750
696;750
697;750
698;750
699;750
700;750
701;750
702;750
703;750
704;750
705;750
706;750
707;750
708;750
709;750
710;750
711;749
712;750
713;749
714;749
715;749
716;749
717;749
718;749
719;749
720;749
721;749
722;749
723;749
724;749
725;749
726;749
727;749
728;749
729;749
730;749
731;749
732;749
733;749
734;748
735;749
736;749
737;748
738;748
739;748
740;749
741;748
742;748
743;748
744;748
745;748
746;748
747;748
748;748
749;748
750;748
751;748
752;748
753;748
754;748
755;748
756;748
757;748
758;748
759;748
760;748
761;748
762;748
763;748
764;748
765;747
766;747
767;747
768;747
769;747
770;747
771;747
772;747
773;747
774;747
775;747
776;747
777;747
778;747
779;747
780;747
781;747
782;747
783;747
784;747
785;747
786;746
787;747
788;746
789;747
790;747
791;747
792;746
793;746
794;747
795;746
796;746
797;746
798;746
799;746
800;746
801;746
802;746
803;746
804;746
805;746
806;746
807;746
808;746
809;746
810;746
811;746
812;746
813;746
814;746
815;745
816;745
817;745
818;745
819;746
820;746
821;745
822;745
823;745
824;745
825;746
826;745
827;745
828;745
829;745
830;746
831;746
832;745
833;745
834;745
835;745
836;745
837;745
838;746
839;746
840;745
841;745
842;745
843;745
844;745
845;745
846;745
847;745
848;745
849;745
850;745
851;746
852;745
853;745
854;746
855;745
856;745
857;745
858;745
859;745
860;745
861;745
862;746
863;745
864;745
865;746
866;746
867;745
868;746
869;746
870;745
871;745
872;746
873;746
874;746
875;746
876;746
877;746
878;746
879;746
880;746
881;746
882;746
883;746
884;746
885;746
886;746
887;746
888;746
889;746
890;746
891;746
892;746
893;746
894;746
895;746
896;746
897;747
898;747
899;747
900;746
901;746
902;747
903;747
904;747
905;747
906;747
907;747
908;747
909;747
910;747
911;747
912;747
913;747
914;747
915;747
916;747
917;747
918;747
919;747
920;747
921;747
922;748
923;748
924;748
925;748
926;748
927;748
928;748
929;748
930;748
931;748
932;748
933;748
934;748
935;748
936;748
937;748
938;748
939;748
940;748
941;748
942;748
943;749
944;749
945;749
946;749
947;749
948;749
949;749
950;749
951;749
952;749
953;749
954;749
955;749
956;749
957;749
958;749
959;749
960;749
961;749
962;749
963;749
964;749
965;750
966;750
967;750
968;750
969;750
970;750
971;750
972;750
973;750
974;750
975;750
976;750
977;750
978;750
979;750
980;750
981;750
982;750
983;750
984;750
985;750
986;750
987;750
988;750
989;750
990;750
991;750
992;750
993;750
994;750
995;750
996;751
997;750
998;750
999;750
1000;750
1001;750
1002;750
1003;750
1004;750
1005;750
1006;750
1007;750
1008;750
1009;750
1010;750
1011;750
1012;750
1013;750
1014;750
1015;750
1016;750
1017;750
1018;750
1019;750
1020;750
1021;750
1022;750
1023;750
1024;750
1025;750
1026;750
1027;750
1028;750
1029;750
1030;750
1031;750
1032;750
1033;750
1034;750
1035;751
1036;750
1037;750
1038;750
1039;750
1040;750
1041;750
1042;750
1043;750
1044;750
1045;750
1046;750
1047;750
1048;750
1049;750
1050;750
1051;750
1052;750
1053;750
1054;750
1055;751
1056;751
1057;751
1058;750
1059;751
1060;750
1061;750
1062;750
1063;751
1064;750
1065;750
1066;751
1067;750
1068;750
1069;750
1070;750
1071;751
1072;750
1073;750
1074;750
1075;750
1076;750
1077;750
1078;750
1079;750
1080;751
1081;751
1082;750
1083;750
1084;751
1085;750
1086;751
1087;751
1088;751
1089;750
1090;751
1091;750
1092;751
1093;751
1094;751
1095;751
1096;751
1097;751
1098;751
1099;751
1100;751
1101;751
1102;751
1103;751
1104;751
1105;751
1106;751
1107;751
1108;751
1109;751
1110;751
1111;751
1112;750
1113;751
1114;751
1115;751
1116;751
1117;751
1118;751
1119;751
1120;751
1121;751
1122;751
1123;751
1124;751
1125;751
1126;751
1127;751
1128;751
1129;751
1130;751
1131;751
1132;751
1133;751
1134;751
1135;751
1136;751
1137;751
1138;751
1139;751
1140;751
1141;751
1142;751
1143;751
1144;751
1145;751
1146;751
1147;751
1148;751
1149;751
1150;751
1151;751
1152;751
1153;751
1154;751
1155;751
1156;751
1157;751
1158;751
1159;751
1160;751
1161;751
1162;751
1163;751
1164;751
1165;751
1166;751
1167;751
1168;751
1169;751
1170;751
1171;751
1172;751
1173;751
1174;751
1175;751
1176;751
1177;751
1178;751
1179;751
1180;751
1181;751
1182;751
1183;751
1184;750
1185;751
1186;751
1187;750
1188;750
1189;750
1190;750
1191;750
1192;750
1193;750
1194;750
1195;750
1196;750
1197;750
1198;750
1199;750
1200;750
1201;750
1202;750
1203;750
1204;750
1205;749
1206;750
1207;749
1208;749
1209;749
1210;749
1211;749
1212;749
1213;749
1214;749
1215;749
1216;749
1217;749
1218;749
1219;749
1220;749
1221;749
1222;749
1223;749
1224;749
1225;749
1226;749
1227;749
1228;749
1229;748
1230;748
1231;748
1232;748
1233;748
1234;748
1235;748
1236;748
1237;748
1238;748
1239;748
1240;748
1241;748
1242;748
1243;747
1244;747
1245;747
1246;747
1247;747
1248;747
1249;747
1250;747
1251;747
1252;747
1253;747
1254;747
1255;747
1256;747
1257;747
1258;747
1259;747
1260;747
1261;746
1262;747
1263;746
1264;746
1265;746
1266;747
1267;746
1268;746
1269;746
1270;746
1271;746
1272;746
1273;746
1274;746
1275;746
1276;746
1277;746
1278;746
1279;746
1280;746
1281;746
1282;746
1283;746
1284;746
1285;746
1286;746
1287;746
1288;746
1289;746
1290;746
1291;746
1292;746
1293;746
1294;746
1295;746
1296;746
1297;746
1298;746
1299;746
1300;746
1301;745
1302;746
1303;746
1304;746
1305;746
1306;746
1307;746
1308;746
1309;746
1310;746
1311;746
1312;746
1313;746
1314;746
1315;746
1316;746
1317;746
1318;746
1319;746
1320;746
1321;746
1322;746
1323;746
1324;746
1325;746
1326;746
1327;746
1328;746
1329;746
1330;746
1331;746
1332;746
1333;746
1334;746
1335;746
1336;746
1337;746
1338;746
1339;746
1340;746
1341;746
1342;746
1343;746
1344;746
1345;747
1346;746
1347;746
1348;746
1349;746
1350;746
1351;746
1352;746
1353;746
